subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
21,213,21_213,0.0,137.81679389312978,171.0,84.24383333333333,131.0,272.37931034482756,224.5,76.65633333333334,58.0,252.44,224.5,73.2625,50.0,305.94736842105266,245.0,71.512,38.0,273.11538461538464,233.5,70.90916666666666,26.0,139.58823529411765,152.0,71.325,17.0,274.8888888888889,359.0,74.14,9.0,274.8888888888889,359.0,75.044,9.0,274.8888888888889,359.0,75.4075,9.0,274.8888888888889,359.0,75.21,9.0,445.0,580.0,75.052,5.0,445.0,580.0,74.875,5.0,445.0,580.0,74.83333333333333,5.0,445.0,580.0,74.75,5.0,840.0,840.0,74.5,2.0
213,21,21_213,0.0,137.81679389312978,171.0,74.54433333333333,131.0,272.37931034482756,224.5,72.355,58.0,252.44,224.5,64.5325,50.0,305.94736842105266,245.0,56.71,38.0,273.11538461538464,233.5,50.61666666666667,26.0,139.58823529411765,152.0,48.941,17.0,274.8888888888889,359.0,58.901666666666664,9.0,274.8888888888889,359.0,63.882,9.0,274.8888888888889,359.0,71.3525,9.0,274.8888888888889,359.0,82.60666666666667,9.0,445.0,580.0,83.528,5.0,445.0,580.0,84.91,5.0,445.0,580.0,86.88666666666667,5.0,445.0,580.0,87.83,5.0,840.0,840.0,88.0,2.0
21,213,21_213,1.0,,,,,30.904109589041095,161.0,91.83133333333333,73.0,132.7058823529412,197.0,85.38,34.0,208.6,222.0,81.80066666666667,20.0,200.42307692307693,224.5,78.94166666666666,26.0,310.57575757575756,227.0,75.2,33.0,272.1764705882353,152.0,67.67833333333333,17.0,-12.625,52.5,67.606,8.0,312.0,312.0,70.0475,2.0,,,73.07,0.0,62.25,172.5,75.036,4.0,62.25,172.5,75.94,4.0,62.25,172.5,75.58666666666667,4.0,,,75.0,0.0,181.66666666666666,367.0,75.0,3.0
213,21,21_213,1.0,,,,,30.904109589041095,161.0,76.73366666666666,73.0,132.7058823529412,197.0,88.0,34.0,208.6,222.0,88.0,20.0,200.42307692307693,224.5,86.27083333333333,26.0,310.57575757575756,227.0,80.124,33.0,272.1764705882353,152.0,42.33166666666666,17.0,-12.625,52.5,34.0,8.0,312.0,312.0,34.0,2.0,,,35.196666666666665,0.0,62.25,172.5,44.236,4.0,62.25,172.5,57.795,4.0,62.25,172.5,78.32666666666667,4.0,,,81.99,0.0,181.66666666666666,367.0,87.66,3.0
21,213,21_213,2.0,,,,,,,,,19.574468085106382,112.0,94.089,47.0,5.475,162.5,89.91133333333333,40.0,141.16,180.0,84.0825,25.0,397.0,230.0,83.444,8.0,315.1111111111111,251.0,75.67666666666666,18.0,440.6190476190476,263.0,71.886,21.0,266.8666666666667,152.0,67.2725,15.0,186.66666666666666,64.0,67.66,3.0,312.0,312.0,69.248,2.0,,,71.605,0.0,,,76.0,0.0,62.25,172.5,75.88,4.0,,,75.0,0.0
213,21,21_213,2.0,,,,,,,,,19.574468085106382,112.0,71.1005,47.0,5.475,162.5,88.0,40.0,141.16,180.0,88.0,25.0,397.0,230.0,88.0,8.0,315.1111111111111,251.0,84.54166666666667,18.0,440.6190476190476,263.0,72.248,21.0,266.8666666666667,152.0,46.4975,15.0,186.66666666666666,64.0,34.0,3.0,312.0,312.0,34.0,2.0,,,34.0,0.0,,,36.39333333333333,0.0,62.25,172.5,78.0,4.0,,,85.0,0.0
21,213,21_213,3.0,,,,,,,,,,,,,61.72727272727273,128.0,93.75133333333333,33.0,-23.620689655172413,138.0,94.545,29.0,51.38461538461539,172.0,87.316,26.0,-57.625,-0.5,82.20666666666666,8.0,83.0,113.0,78.514,12.0,342.85714285714283,251.0,74.5375,14.0,290.5,178.0,67.69666666666667,14.0,-120.83333333333333,-11.5,65.964,6.0,312.0,312.0,68.49,2.0,,,70.14,0.0,,,76.0,0.0,,,75.0,0.0
213,21,21_213,3.0,,,,,,,,,,,,,61.72727272727273,128.0,65.46733333333333,33.0,-23.620689655172413,138.0,84.5775,29.0,51.38461538461539,172.0,88.0,26.0,-57.625,-0.5,88.0,8.0,83.0,113.0,88.0,12.0,342.85714285714283,251.0,82.8125,14.0,290.5,178.0,50.663333333333334,14.0,-120.83333333333333,-11.5,34.0,6.0,312.0,312.0,34.0,2.0,,,34.0,0.0,,,37.59,0.0,,,78.98,0.0
21,213,21_213,4.0,,,,,,,,,,,,,,,,,115.92,128.0,92.74083333333333,25.0,-106.84,99.0,96.089,25.0,581.0,333.5,83.58,6.0,-155.0,-155.0,83.49,2.0,72.1,113.0,79.0475,10.0,377.0833333333333,317.0,73.92333333333333,12.0,492.0,233.5,69.62,10.0,-120.83333333333333,-11.5,65.715,6.0,312.0,312.0,69.0,2.0,,,73.59,0.0,,,75.76,0.0
213,21,21_213,4.0,,,,,,,,,,,,,,,,,115.92,128.0,63.25666666666667,25.0,-106.84,99.0,78.305,25.0,581.0,333.5,88.0,6.0,-155.0,-155.0,88.0,2.0,72.1,113.0,88.0,10.0,377.0833333333333,317.0,81.08333333333333,12.0,492.0,233.5,60.996,10.0,-120.83333333333333,-11.5,34.0,6.0,312.0,312.0,34.0,2.0,,,34.0,0.0,,,78.0,0.0
21,213,21_213,5.0,,,,,,,,,,,,,,,,,,,,,163.22727272727272,148.0,92.089,22.0,2.263157894736842,164.0,84.585,19.0,581.0,333.5,83.398,6.0,-155.0,-155.0,83.24,2.0,191.16666666666666,248.5,77.43,6.0,393.90909090909093,407.0,74.152,11.0,525.3333333333334,263.0,68.83,9.0,-64.0,-64.0,66.32,1.0,,,69.62,0.0,62.25,172.5,76.0,4.0
213,21,21_213,5.0,,,,,,,,,,,,,,,,,,,,,163.22727272727272,148.0,63.896,22.0,2.263157894736842,164.0,88.0,19.0,581.0,333.5,88.0,6.0,-155.0,-155.0,88.0,2.0,191.16666666666666,248.5,88.0,6.0,393.90909090909093,407.0,83.5,11.0,525.3333333333334,263.0,58.995,9.0,-64.0,-64.0,34.0,1.0,,,34.0,0.0,62.25,172.5,78.0,4.0
21,213,21_213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,247.72727272727272,252.0,92.19166666666666,11.0,-129.0,164.0,83.314,11.0,871.75,699.5,84.465,4.0,-25.166666666666668,-0.5,80.89333333333333,6.0,287.25,324.0,77.116,4.0,294.4,88.0,73.2,5.0,-28.2,87.5,65.62,10.0,312.0,312.0,69.0,2.0,,,76.0,0.0
213,21,21_213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,247.72727272727272,252.0,88.0,11.0,-129.0,164.0,88.0,11.0,871.75,699.5,88.0,4.0,-25.166666666666668,-0.5,88.0,6.0,287.25,324.0,88.0,4.0,294.4,88.0,77.625,5.0,-28.2,87.5,38.166666666666664,10.0,312.0,312.0,34.0,2.0,,,41.18,0.0
21,213,21_213,7.0,,,,,,,,,,,,,,,,,,,,,,,,,-189.44444444444446,52.0,96.89833333333333,18.0,183.66666666666666,252.0,91.318,15.0,-133.33333333333334,106.5,81.975,12.0,-155.0,-155.0,83.52,2.0,-19.125,-0.5,79.912,8.0,369.77777777777777,407.0,75.875,9.0,1087.25,771.0,69.77333333333333,4.0,,,67.98,0.0,,,76.0,0.0
213,21,21_213,7.0,,,,,,,,,,,,,,,,,,,,,,,,,-189.44444444444446,52.0,81.155,18.0,183.66666666666666,252.0,88.0,15.0,-133.33333333333334,106.5,88.0,12.0,-155.0,-155.0,88.0,2.0,-19.125,-0.5,88.0,8.0,369.77777777777777,407.0,88.0,9.0,1087.25,771.0,63.16,4.0,,,34.0,0.0,,,34.0,0.0
21,213,21_213,8.0,,,,,,,,,,,,,,,,,,,,,,,,,-146.33333333333334,31.5,94.07833333333333,6.0,-79.78571428571429,105.5,95.102,14.0,182.44444444444446,180.0,85.8075,9.0,954.0,954.0,84.83,1.0,,,82.784,0.0,218.0,297.5,77.955,4.0,381.75,140.0,72.93333333333334,4.0,-64.0,-64.0,66.0,1.0,,,76.0,0.0
213,21,21_213,8.0,,,,,,,,,,,,,,,,,,,,,,,,,-146.33333333333334,31.5,66.02,6.0,-79.78571428571429,105.5,88.0,14.0,182.44444444444446,180.0,88.0,9.0,954.0,954.0,88.0,1.0,,,88.0,0.0,218.0,297.5,88.0,4.0,381.75,140.0,74.16666666666667,4.0,-64.0,-64.0,34.0,1.0,,,34.0,0.0
21,213,21_213,9.0,,,,,,,,,,,,,,,,,,,,,,,,,198.73684210526315,128.0,91.40333333333334,19.0,-141.27272727272728,-73.0,97.076,11.0,184.71428571428572,252.0,91.4125,7.0,506.4,222.0,82.33,5.0,-155.0,-155.0,84.196,2.0,-25.166666666666668,-0.5,80.14,6.0,374.75,448.0,74.91333333333333,8.0,-132.2,41.0,65.43,5.0,,,71.18,0.0
213,21,21_213,9.0,,,,,,,,,,,,,,,,,,,,,,,,,198.73684210526315,128.0,60.49333333333333,19.0,-141.27272727272728,-73.0,68.61,11.0,184.71428571428572,252.0,88.0,7.0,506.4,222.0,88.0,5.0,-155.0,-155.0,88.0,2.0,-25.166666666666668,-0.5,88.0,6.0,374.75,448.0,88.0,8.0,-132.2,41.0,34.0,5.0,,,34.0,0.0
21,213,21_213,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.666666666666664,225.0,92.356,3.0,209.58333333333334,139.0,94.3775,12.0,-159.9,127.0,82.69,10.0,871.75,699.5,84.748,4.0,,,82.7,0.0,137.5,137.5,76.58666666666667,2.0,97.16666666666667,169.0,66.13,6.0,,,70.0,0.0
213,21,21_213,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.666666666666664,225.0,69.0,3.0,209.58333333333334,139.0,88.0,12.0,-159.9,127.0,88.0,10.0,871.75,699.5,88.0,4.0,,,88.0,0.0,137.5,137.5,88.0,2.0,97.16666666666667,169.0,49.0,6.0,,,34.0,0.0
21,213,21_213,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.73684210526315,128.0,91.822,19.0,-449.3,-293.5,97.845,10.0,182.44444444444446,180.0,86.48,9.0,-0.5,-0.5,82.048,2.0,-155.0,-155.0,83.78,2.0,218.0,297.5,78.27333333333333,4.0,1381.6666666666667,807.0,71.53,3.0,,,69.24,0.0
213,21,21_213,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.73684210526315,128.0,58.792,19.0,-449.3,-293.5,77.7325,10.0,182.44444444444446,180.0,88.0,9.0,-0.5,-0.5,88.0,2.0,-155.0,-155.0,88.0,2.0,218.0,297.5,88.0,4.0,1381.6666666666667,807.0,68.99,3.0,,,34.0,0.0
