subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,gap_length_mean_speaker_1,gap_length_median_speaker_1,gap_length_mean_partner_1,gap_length_median_partner_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,gap_length_mean_speaker_2,gap_length_median_speaker_2,gap_length_mean_partner_2,gap_length_median_partner_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,gap_length_mean_speaker_3,gap_length_median_speaker_3,gap_length_mean_partner_3,gap_length_median_partner_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,gap_length_mean_speaker_4,gap_length_median_speaker_4,gap_length_mean_partner_4,gap_length_median_partner_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,gap_length_mean_speaker_5,gap_length_median_speaker_5,gap_length_mean_partner_5,gap_length_median_partner_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,gap_length_mean_speaker_6,gap_length_median_speaker_6,gap_length_mean_partner_6,gap_length_median_partner_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,gap_length_mean_speaker_10,gap_length_median_speaker_10,gap_length_mean_partner_10,gap_length_median_partner_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,gap_length_mean_speaker_12,gap_length_median_speaker_12,gap_length_mean_partner_12,gap_length_median_partner_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,gap_length_mean_speaker_15,gap_length_median_speaker_15,gap_length_mean_partner_15,gap_length_median_partner_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,gap_length_mean_speaker_20,gap_length_median_speaker_20,gap_length_mean_partner_20,gap_length_median_partner_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,gap_length_mean_speaker_24,gap_length_median_speaker_24,gap_length_mean_partner_24,gap_length_median_partner_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,gap_length_mean_speaker_30,gap_length_median_speaker_30,gap_length_mean_partner_30,gap_length_median_partner_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,gap_length_mean_speaker_40,gap_length_median_speaker_40,gap_length_mean_partner_40,gap_length_median_partner_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,gap_length_mean_speaker_60,gap_length_median_speaker_60,gap_length_mean_partner_60,gap_length_median_partner_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,gap_length_mean_speaker_120,gap_length_median_speaker_120,gap_length_mean_partner_120,gap_length_median_partner_120,connection_120,num_turns_120
44.0,252.0,44_252,0.0,572.4357142857143,414.0,376.0857142857143,406.5,768.7857142857143,579.0,63.838,140.0,497.0125,391.5,361.875,397.5,632.15,376.0,54.82066666666667,80.0,460.64912280701753,389.0,422.7586206896552,406.0,499.89285714285717,293.5,52.426,57.0,436.22222222222223,383.0,351.0,389.0,525.3181818181819,293.5,51.082,45.0,324.62857142857143,331.0,373.1111111111111,357.0,273.29411764705884,229.0,50.25333333333333,35.0,282.27272727272725,324.0,346.0,331.0,214.5625,222.0,49.704,33.0,195.72727272727272,204.0,253.54545454545453,324.0,137.9090909090909,193.0,48.34166666666667,22.0,195.72727272727272,204.0,253.54545454545453,324.0,137.9090909090909,193.0,48.21,22.0,186.05555555555554,201.5,230.55555555555554,152.0,141.55555555555554,215.0,48.0125,18.0,117.75,304.5,274.0,284.0,-38.5,304.5,47.68333333333333,12.0,64.1,304.5,212.0,152.0,-83.8,394.0,47.42,10.0,354.625,405.0,227.0,280.0,482.25,487.0,47.025,8.0,354.625,405.0,227.0,280.0,482.25,487.0,46.36666666666667,8.0,337.8333333333333,339.5,164.0,144.0,511.6666666666667,580.0,46.0,6.0,362.0,362.0,144.0,144.0,580.0,580.0,46.0,2.0
252.0,44.0,44_252,0.0,572.4357142857143,414.0,768.7857142857143,579.0,376.0857142857143,406.5,49.074666666666666,140.0,497.0125,391.5,632.15,376.0,361.875,397.5,55.948,80.0,460.64912280701753,389.0,499.89285714285717,293.5,422.7586206896552,406.0,48.5035,57.0,436.22222222222223,383.0,525.3181818181819,293.5,351.0,389.0,43.692,45.0,324.62857142857143,331.0,273.29411764705884,229.0,373.1111111111111,357.0,40.47,35.0,282.27272727272725,324.0,214.5625,222.0,346.0,331.0,39.11,33.0,195.72727272727272,204.0,137.9090909090909,193.0,253.54545454545453,324.0,34.05,22.0,195.72727272727272,204.0,137.9090909090909,193.0,253.54545454545453,324.0,32.86,22.0,186.05555555555554,201.5,141.55555555555554,215.0,230.55555555555554,152.0,32.34,18.0,117.75,304.5,-38.5,304.5,274.0,284.0,30.376666666666665,12.0,64.1,304.5,-83.8,394.0,212.0,152.0,27.4,10.0,354.625,405.0,482.25,487.0,227.0,280.0,23.16,8.0,354.625,405.0,482.25,487.0,227.0,280.0,22.86,8.0,337.8333333333333,339.5,511.6666666666667,580.0,164.0,144.0,22.79,6.0,362.0,362.0,580.0,580.0,144.0,144.0,22.58,2.0
44.0,252.0,44_252,1.0,,,,,,,,,673.0,439.5,395.03333333333336,410.0,950.9666666666667,639.5,72.85533333333333,60.0,689.6086956521739,608.0,340.6521739130435,450.0,1038.5652173913043,809.0,59.538,46.0,575.1714285714286,566.0,376.5882352941176,406.0,762.7222222222222,624.0,58.559333333333335,35.0,560.1388888888889,502.0,323.22222222222223,425.5,797.0555555555555,624.0,56.5825,36.0,705.9166666666666,578.5,531.5,502.0,880.3333333333334,624.0,55.148,24.0,542.7692307692307,616.0,561.0,616.0,521.5,497.0,52.165,13.0,455.3636363636364,389.0,515.5,502.5,383.2,358.0,51.198,11.0,287.3,327.5,408.6,383.0,166.0,193.0,49.9125,10.0,289.3,182.5,229.0,324.0,349.6,172.0,49.0,10.0,305.4166666666667,190.5,288.1666666666667,327.5,322.6666666666667,180.0,49.0,12.0,51.2,162.0,233.4,152.0,-131.0,172.0,49.0,10.0,-356.0,170.0,368.0,368.0,-1080.0,-1080.0,49.0,4.0,405.0,405.0,416.0,416.0,394.0,394.0,48.05,2.0,325.75,339.5,174.0,174.0,477.5,477.5,46.0,4.0
252.0,44.0,44_252,1.0,,,,,,,,,673.0,439.5,950.9666666666667,639.5,395.03333333333336,410.0,42.20133333333333,60.0,689.6086956521739,608.0,1038.5652173913043,809.0,340.6521739130435,450.0,65.7885,46.0,575.1714285714286,566.0,762.7222222222222,624.0,376.5882352941176,406.0,68.204,35.0,560.1388888888889,502.0,797.0555555555555,624.0,323.22222222222223,425.5,63.255833333333335,36.0,705.9166666666666,578.5,880.3333333333334,624.0,531.5,502.0,57.897,24.0,542.7692307692307,616.0,521.5,497.0,561.0,616.0,46.89,13.0,455.3636363636364,389.0,383.2,358.0,515.5,502.5,45.36,11.0,287.3,327.5,166.0,193.0,408.6,383.0,39.2025,10.0,289.3,182.5,349.6,172.0,229.0,324.0,37.723333333333336,10.0,305.4166666666667,190.5,322.6666666666667,180.0,288.1666666666667,327.5,38.32,12.0,51.2,162.0,-131.0,172.0,233.4,152.0,41.52,10.0,-356.0,170.0,-1080.0,-1080.0,368.0,368.0,37.89333333333333,4.0,405.0,405.0,394.0,394.0,416.0,416.0,23.53,2.0,325.75,339.5,477.5,477.5,174.0,174.0,23.0,4.0
44.0,252.0,44_252,2.0,,,,,,,,,,,,,,,,,598.972972972973,408.0,346.1666666666667,369.0,838.4736842105264,571.0,79.55,37.0,679.3055555555555,574.5,405.3888888888889,470.0,953.2222222222222,666.0,64.95333333333333,36.0,666.64,578.0,343.3333333333333,412.5,965.0769230769231,694.0,60.715833333333336,25.0,587.1304347826087,566.0,201.36363636363637,350.0,940.75,845.5,59.61,23.0,645.5,502.0,355.4,425.5,935.6,624.0,55.24666666666667,20.0,859.5833333333334,697.0,365.1666666666667,502.0,1354.0,1398.0,53.838,12.0,734.2857142857143,742.0,649.5,783.0,847.3333333333334,693.0,52.835,7.0,429.125,373.5,538.25,502.5,320.0,293.5,51.33,8.0,337.4,358.0,443.0,389.0,179.0,179.0,50.06,5.0,239.25,262.0,357.0,357.0,121.5,121.5,49.0,4.0,289.3,182.5,229.0,324.0,349.6,172.0,49.0,10.0,-356.0,170.0,368.0,368.0,-1080.0,-1080.0,49.0,4.0,405.0,405.0,416.0,416.0,394.0,394.0,47.1,2.0
252.0,44.0,44_252,2.0,,,,,,,,,,,,,,,,,598.972972972973,408.0,838.4736842105264,571.0,346.1666666666667,369.0,32.932,37.0,679.3055555555555,574.5,953.2222222222222,666.0,405.3888888888889,470.0,45.955333333333336,36.0,666.64,578.0,965.0769230769231,694.0,343.3333333333333,412.5,70.35416666666667,25.0,587.1304347826087,566.0,940.75,845.5,201.36363636363637,350.0,70.837,23.0,645.5,502.0,935.6,624.0,355.4,425.5,58.93333333333333,20.0,859.5833333333334,697.0,1354.0,1398.0,365.1666666666667,502.0,52.856,12.0,734.2857142857143,742.0,847.3333333333334,693.0,649.5,783.0,49.8675,7.0,429.125,373.5,320.0,293.5,538.25,502.5,43.64666666666667,8.0,337.4,358.0,179.0,179.0,443.0,389.0,40.0,5.0,239.25,262.0,121.5,121.5,357.0,357.0,37.47,4.0,289.3,182.5,349.6,172.0,229.0,324.0,36.153333333333336,10.0,-356.0,170.0,-1080.0,-1080.0,368.0,368.0,44.81,4.0,405.0,405.0,394.0,394.0,416.0,416.0,23.0,2.0
44.0,252.0,44_252,3.0,,,,,,,,,,,,,,,,,,,,,,,,,663.5416666666666,385.0,379.5,336.5,947.5833333333334,596.5,80.75733333333334,24.0,694.1304347826087,542.0,461.6666666666667,485.5,947.7272727272727,571.0,70.04416666666667,23.0,792.0869565217391,638.0,468.3333333333333,470.0,1145.2727272727273,694.0,59.466,23.0,453.4375,458.0,283.0,458.0,623.875,550.5,57.91833333333334,16.0,552.25,501.5,697.8333333333334,552.0,406.6666666666667,360.5,56.458,12.0,785.6923076923077,597.0,342.5,502.0,1165.5714285714287,651.0,54.61,13.0,724.6,742.0,591.3333333333334,742.0,924.5,924.5,53.0,5.0,553.6666666666666,664.5,588.0,742.0,519.3333333333334,636.0,52.336,6.0,319.3333333333333,341.0,443.0,389.0,195.66666666666666,229.0,50.825,6.0,,,,,,,49.0,0.0,322.6666666666667,123.0,143.66666666666666,74.0,501.6666666666667,172.0,49.0,6.0,,,,,,,49.0,0.0
252.0,44.0,44_252,3.0,,,,,,,,,,,,,,,,,,,,,,,,,663.5416666666666,385.0,947.5833333333334,596.5,379.5,336.5,38.44733333333333,24.0,694.1304347826087,542.0,947.7272727272727,571.0,461.6666666666667,485.5,31.7375,23.0,792.0869565217391,638.0,1145.2727272727273,694.0,468.3333333333333,470.0,60.74,23.0,453.4375,458.0,623.875,550.5,283.0,458.0,67.57833333333333,16.0,552.25,501.5,406.6666666666667,360.5,697.8333333333334,552.0,62.938,12.0,785.6923076923077,597.0,1165.5714285714287,651.0,342.5,502.0,56.7125,13.0,724.6,742.0,924.5,924.5,591.3333333333334,742.0,50.13333333333333,5.0,553.6666666666666,664.5,519.3333333333334,636.0,588.0,742.0,50.72,6.0,319.3333333333333,341.0,195.66666666666666,229.0,443.0,389.0,40.935,6.0,,,,,,,39.29333333333334,0.0,322.6666666666667,123.0,501.6666666666667,172.0,143.66666666666666,74.0,38.23,6.0,,,,,,,24.06,0.0
44.0,252.0,44_252,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.0952380952381,412.0,413.2,385.0,1077.3636363636363,641.0,81.59416666666667,21.0,365.04545454545456,340.0,187.9090909090909,304.0,542.1818181818181,552.0,77.187,22.0,914.8888888888889,699.0,485.25,458.0,1258.6,882.0,60.431666666666665,9.0,376.42857142857144,458.0,39.142857142857146,350.0,713.7142857142857,809.0,58.702,14.0,520.1111111111111,249.0,697.8,406.0,298.0,121.0,56.76,9.0,826.8,502.0,271.4,444.0,1382.2,1583.0,54.39666666666667,10.0,1257.25,1023.5,639.0,639.0,1875.5,1875.5,53.0,4.0,618.6,693.0,588.0,742.0,664.5,664.5,52.67,5.0,337.4,358.0,443.0,389.0,179.0,179.0,50.766666666666666,5.0,239.25,262.0,357.0,357.0,121.5,121.5,49.0,4.0,-1098.0,-1098.0,152.0,152.0,-2348.0,-2348.0,49.0,2.0
252.0,44.0,44_252,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.0952380952381,412.0,1077.3636363636363,641.0,413.2,385.0,39.55583333333333,21.0,365.04545454545456,340.0,542.1818181818181,552.0,187.9090909090909,304.0,25.866,22.0,914.8888888888889,699.0,1258.6,882.0,485.25,458.0,72.28833333333333,9.0,376.42857142857144,458.0,713.7142857142857,809.0,39.142857142857146,350.0,69.528,14.0,520.1111111111111,249.0,298.0,121.0,697.8,406.0,64.395,9.0,826.8,502.0,1382.2,1583.0,271.4,444.0,56.58,10.0,1257.25,1023.5,1875.5,1875.5,639.0,639.0,46.836,4.0,618.6,693.0,664.5,664.5,588.0,742.0,52.465,5.0,337.4,358.0,179.0,179.0,443.0,389.0,40.0,5.0,239.25,262.0,121.5,121.5,357.0,357.0,34.94,4.0,-1098.0,-1098.0,-2348.0,-2348.0,152.0,152.0,44.36,2.0
