subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
8,5,8_5,0.0,100.8955223880597,124.0,62.51733333333333,134.0,131.22857142857143,131.0,59.19266666666667,70.0,132.4,125.0,57.289,55.0,128.14893617021278,137.0,55.462,47.0,128.5121951219512,137.0,54.5775,41.0,147.51351351351352,164.0,53.693,37.0,169.16,180.0,50.155,25.0,104.45,129.0,48.386,20.0,188.13333333333333,180.0,47.0,15.0,239.9,291.0,47.0,10.0,239.9,291.0,47.0,10.0,239.9,291.0,47.0,10.0,152.55555555555554,288.0,47.0,9.0,164.0,291.0,47.0,8.0,72.33333333333333,191.0,47.0,6.0
5,8,8_5,0.0,100.8955223880597,124.0,75.50133333333333,134.0,131.22857142857143,131.0,68.396,70.0,132.4,125.0,63.296,55.0,128.14893617021278,137.0,58.415333333333336,47.0,128.5121951219512,137.0,52.51916666666666,41.0,147.51351351351352,164.0,48.985,37.0,169.16,180.0,35.625,25.0,104.45,129.0,34.332,20.0,188.13333333333333,180.0,36.915,15.0,239.9,291.0,41.22,10.0,239.9,291.0,44.664,10.0,239.9,291.0,49.83,10.0,152.55555555555554,288.0,51.81333333333333,9.0,164.0,291.0,51.47,8.0,72.33333333333333,191.0,50.0,6.0
8,5,8_5,1.0,,,,,67.71875,122.5,65.842,64.0,24.933333333333334,103.0,63.2695,45.0,137.52173913043478,125.0,62.92333333333333,23.0,141.94736842105263,125.0,61.90416666666667,19.0,101.33333333333333,42.0,60.885,18.0,65.0,104.5,59.0,16.0,198.1764705882353,178.0,59.0,17.0,158.57142857142858,157.5,57.7325,14.0,122.0,164.0,53.31,15.0,-31.0,-69.5,49.772,10.0,84.6,164.0,47.0,5.0,1026.0,1026.0,47.0,1.0,543.5,543.5,47.0,2.0,439.0,439.0,47.0,2.0
5,8,8_5,1.0,,,,,67.71875,122.5,82.60666666666667,64.0,24.933333333333334,103.0,79.941,45.0,137.52173913043478,125.0,78.37666666666667,23.0,141.94736842105263,125.0,78.47083333333333,19.0,101.33333333333333,42.0,77.607,18.0,65.0,104.5,69.41333333333333,16.0,198.1764705882353,178.0,63.638,17.0,158.57142857142858,157.5,52.3475,14.0,122.0,164.0,30.03,15.0,-31.0,-69.5,24.0,10.0,84.6,164.0,24.0,5.0,1026.0,1026.0,30.626666666666665,1.0,543.5,543.5,48.19,2.0,439.0,439.0,52.94,2.0
8,5,8_5,2.0,,,,,,,,,150.47058823529412,196.5,66.9935,34.0,-13.210526315789474,91.5,65.026,38.0,11.03448275862069,123.0,62.2,29.0,126.93333333333334,161.0,63.0,15.0,121.16666666666667,93.5,60.80833333333333,12.0,56.5,-19.5,59.0,10.0,18.916666666666668,-20.5,59.0,12.0,69.11111111111111,113.0,59.0,9.0,321.0,187.5,59.0,8.0,140.7,-14.5,56.465,10.0,-19.857142857142858,-7.0,47.733333333333334,7.0,,,47.0,0.0,61.0,61.0,47.0,1.0
5,8,8_5,2.0,,,,,,,,,150.47058823529412,196.5,83.267,34.0,-13.210526315789474,91.5,82.19066666666667,38.0,11.03448275862069,123.0,80.51333333333334,29.0,126.93333333333334,161.0,78.596,15.0,121.16666666666667,93.5,80.615,12.0,56.5,-19.5,77.276,10.0,18.916666666666668,-20.5,68.295,12.0,69.11111111111111,113.0,70.36666666666666,9.0,321.0,187.5,59.756,8.0,140.7,-14.5,33.045,10.0,-19.857142857142858,-7.0,24.0,7.0,,,24.0,0.0,61.0,61.0,52.5,1.0
8,5,8_5,3.0,,,,,,,,,,,,,186.0,209.5,66.658,26.0,28.379310344827587,32.0,67.5825,29.0,-26.066666666666666,91.5,63.539,30.0,177.57142857142858,166.0,63.0,7.0,157.375,93.5,62.77,8.0,120.81818181818181,62.0,59.7125,11.0,59.714285714285715,96.0,59.0,7.0,89.0,96.0,59.0,9.0,203.25,157.5,59.0,4.0,246.125,392.5,58.88666666666666,8.0,84.6,164.0,47.0,5.0,1026.0,1026.0,47.0,1.0
5,8,8_5,3.0,,,,,,,,,,,,,186.0,209.5,83.02266666666667,26.0,28.379310344827587,32.0,83.08833333333334,29.0,-26.066666666666666,91.5,81.286,30.0,177.57142857142858,166.0,76.32666666666667,7.0,157.375,93.5,77.938,8.0,120.81818181818181,62.0,82.0,11.0,59.714285714285715,96.0,68.46,7.0,89.0,96.0,67.52,9.0,203.25,157.5,71.65,4.0,246.125,392.5,36.06,8.0,84.6,164.0,24.0,5.0,1026.0,1026.0,43.88,1.0
8,5,8_5,4.0,,,,,,,,,,,,,,,,,275.6875,221.0,66.3225,16.0,118.55,108.5,68.0,20.0,122.0,94.5,63.0,10.0,157.375,124.0,63.0,8.0,228.0,125.0,63.0,3.0,125.66666666666667,114.5,59.0,6.0,41.4,-58.0,59.0,5.0,52.0,56.5,59.0,8.0,142.66666666666666,137.0,59.0,3.0,-146.6,-336.0,53.93,5.0,,,47.0,0.0
5,8,8_5,4.0,,,,,,,,,,,,,,,,,275.6875,221.0,82.915,16.0,118.55,108.5,82.868,20.0,122.0,94.5,80.0,10.0,157.375,124.0,77.192,8.0,228.0,125.0,76.9225,3.0,125.66666666666667,114.5,82.0,6.0,41.4,-58.0,72.552,5.0,52.0,56.5,66.4,8.0,142.66666666666666,137.0,71.53333333333333,3.0,-146.6,-336.0,24.0,5.0,,,24.0,0.0
