subID,factor_1_self_mean,factor_1_partner_mean,factor_1_self_var,factor_1_partner_var,avg_connection_self_mean,avg_connection_partner_mean,avg_connection_self_var,avg_connection_partner_var,mean_gap_convo_self_mean,mean_gap_convo_partner_mean,mean_gap_convo_self_var,mean_gap_convo_partner_var,median_gap_convo_self_mean,median_gap_convo_partner_mean,median_gap_convo_self_var,median_gap_convo_partner_var,mean_gap_speaker_self_mean,mean_gap_speaker_partner_mean,mean_gap_speaker_self_var,mean_gap_speaker_partner_var,median_gap_speaker_self_mean,median_gap_speaker_partner_mean,median_gap_speaker_self_var,median_gap_speaker_partner_var,mean_gap_partner_self_mean,mean_gap_partner_partner_mean,mean_gap_partner_self_var,mean_gap_partner_partner_var,median_gap_partner_self_mean,median_gap_partner_partner_mean,median_gap_partner_self_var,median_gap_partner_partner_var,factor_1_centered_self_mean,factor_1_centered_partner_mean,factor_1_centered_self_var,factor_1_centered_partner_var,avg_connection_centered_self_mean,avg_connection_centered_partner_mean,avg_connection_centered_self_var,avg_connection_centered_partner_var,mean_gap_convo_centered_self_mean,mean_gap_convo_centered_partner_mean,mean_gap_convo_centered_self_var,mean_gap_convo_centered_partner_var,median_gap_convo_centered_self_mean,median_gap_convo_centered_partner_mean,median_gap_convo_centered_self_var,median_gap_convo_centered_partner_var,mean_gap_speaker_centered_self_mean,mean_gap_speaker_centered_partner_mean,mean_gap_speaker_centered_self_var,mean_gap_speaker_centered_partner_var,median_gap_speaker_centered_self_mean,median_gap_speaker_centered_partner_mean,median_gap_speaker_centered_self_var,median_gap_speaker_centered_partner_var,mean_gap_partner_centered_self_mean,mean_gap_partner_centered_partner_mean,mean_gap_partner_centered_self_var,mean_gap_partner_centered_partner_var,median_gap_partner_centered_self_mean,median_gap_partner_centered_partner_mean,median_gap_partner_centered_self_var,median_gap_partner_centered_partner_var
1,-0.08069128032736093,0.5496827699278943,0.2887532478705626,1.1587076829950014,59.776149999999994,71.87698333333333,89.48031720030866,336.81652463858006,187.00486053578763,187.00486053578763,5694.168780169839,5694.168780169839,224.05,224.05,1582.6916666666666,1582.6916666666666,170.79751142640555,203.4384575618505,6860.870307812373,9983.39154425919,212.45,231.75,3609.8027777777775,5250.513888888888,203.4384575618505,170.79751142640555,9983.39154425919,6860.870307812373,231.75,212.45,5250.513888888888,3609.8027777777775,1.1102230246251566e-17,0.3503481637843319,0.2887532478705626,0.6099112131678349,4.973799150320701e-15,9.248628333333329,89.48031720030866,226.16708276086734,8.526512829121202e-15,-5.965274210543512,5694.168780169838,7496.049055537741,-1.1368683772161604e-14,-3.544999999999999,1582.6916666666666,2500.339694444445,-8.526512829121202e-15,8.86725249677435,6860.870307812373,10479.875347918336,1.1368683772161604e-14,2.2699999999999987,3609.8027777777775,4576.8656666666675,-1.9895196601282804e-14,-20.509599025126107,9983.39154425919,7201.589143189507,0.0,-15.1,5250.513888888889,2575.3600000000006
2,-0.13953271115354968,0.3511223972333325,0.8860403826032288,0.9640662751044259,48.79395,62.8691,413.01618579660493,443.1399036308642,124.16132036098656,124.16132036098656,27097.645531376118,27097.645531376118,188.6,188.6,10614.599999999999,10614.599999999999,100.20559121483191,148.01198978956722,31803.612668518657,29918.81835842022,183.35,217.7,11005.780555555557,20078.17777777778,148.01198978956722,100.20559121483191,29918.81835842022,31803.612668518657,217.7,183.35,20078.17777777778,11005.780555555557,3.3306690738754695e-17,0.14590364800715144,0.8860403826032286,0.6251009710523645,-1.4210854715202005e-15,-0.8574749999999998,413.0161857966049,314.6405498411883,5.684341886080802e-15,-75.09316840282467,27097.645531376118,17625.925785500764,5.684341886080802e-15,-42.540000000000006,10614.6,6551.7337777777775,-1.1368683772161604e-14,-53.61840729666626,31803.61266851866,15879.330065890412,5.684341886080802e-15,-14.690000000000001,11005.780555555557,9841.337666666666,8.526512829121202e-15,-96.64416601392807,29918.818358420227,25091.83620065697,1.1368683772161604e-14,-45.605000000000004,20078.17777777778,9968.728027777777
3,-0.052690986369405904,-0.18581280266516761,0.1380639885349213,1.1521260677726683,57.90436666666666,54.230599999999995,36.33230102345681,365.1374439209876,203.14608897968557,203.14608897968557,22921.39502973784,22921.39502973784,233.15,233.15,7862.391666666667,7862.391666666667,230.01000970960817,176.4102309841384,23652.89233593251,32095.66863788291,230.4,249.05,8376.766666666666,9988.469444444447,176.4102309841384,230.01000970960817,32095.66863788291,23652.89233593251,249.05,230.4,9988.469444444447,8376.766666666666,-4.8572257327350596e-18,-0.38234737941293434,0.1380639885349213,0.6362042873094479,4.973799150320701e-15,-8.584933333333334,36.332301023456814,228.56907277969134,2.842170943040401e-15,11.790077077744225,22921.395029737843,8984.284729016561,-5.684341886080802e-15,6.465000000000001,7862.391666666667,2386.010583333334,1.7053025658242404e-14,-12.239724252617501,23652.892335932513,16011.31774054553,-5.684341886080802e-15,21.365000000000002,8376.766666666666,3295.7255833333325,-2.842170943040401e-14,36.00007660030533,32095.66863788291,10583.600037328823,-1.1368683772161604e-14,4.580000000000001,9988.469444444447,3024.081777777778
4,0.46642347175354304,-0.09131157979634227,0.47739518270978576,0.816441427725176,77.50139999999999,60.93726666666667,187.73113674814806,201.11055176666656,103.03678968872661,103.03678968872661,3565.289492307491,3565.289492307491,183.0,183.0,987.9444444444445,987.9444444444445,169.58542711541563,36.50875870759399,8714.023048312434,3077.9407362517277,221.45,113.2,3893.7472222222223,2681.066666666667,36.50875870759399,169.58542711541563,3077.9407362517277,8714.023048312434,113.2,221.45,2681.066666666667,3893.7472222222223,6.106226635438361e-17,-0.23593471073181416,0.47739518270978576,0.6512161733424995,7.815970093361103e-15,0.08143666666666434,187.73113674814806,145.681612544,1.9895196601282804e-14,-98.33015214231061,3565.289492307491,2456.423748501662,0.0,-48.7,987.9444444444445,1455.0477777777778,1.1368683772161604e-14,-158.18365478858112,8714.023048312434,4543.881876580576,1.1368683772161604e-14,-115.38,3893.7472222222223,7615.808444444449,-2.842170943040401e-15,-38.41465322154166,3077.9407362517277,3553.444496987092,-4.263256414560601e-15,-17.955000000000002,2681.0666666666666,1546.6658055555554
5,0.48509537656095203,0.1577798280076817,0.2748555808473345,1.0093193227337844,76.21275,65.96735,181.74312442746907,185.71650416944442,265.6229653517891,265.6229653517891,9770.762041780357,9770.762041780357,280.45,280.45,6991.469444444444,6991.469444444444,306.358730510161,225.24924536563358,13858.385279263977,11234.298396437434,339.35,236.25,17763.780555555553,5756.791666666668,225.24924536563358,306.358730510161,11234.298396437434,13858.385279263977,236.25,339.35,5756.791666666668,17763.780555555553,0.0,0.015023887552950699,0.2748555808473345,0.9893238766916433,-7.105427357601002e-16,4.982654999999999,181.74312442746907,118.63225241531167,3.410605131648481e-14,80.51464108705812,9770.762041780354,8057.541003029632,1.1368683772161604e-14,58.495000000000005,6991.469444444445,4109.497472222223,5.684341886080802e-15,44.23416220893303,13858.385279263981,7839.407818587272,-2.2737367544323207e-14,19.46,17763.780555555557,3500.9259999999995,1.9895196601282804e-14,117.23269883900771,11234.298396437433,10764.118988958142,0.0,112.25,5756.791666666667,10624.246111111112
6,-0.4594090948375274,-0.12599422041655414,1.2010077087942757,0.6792860965647677,61.0865,56.96298333333334,572.983335567901,319.7064610151235,261.91815760388926,261.91815760388926,21867.292081923228,21867.292081923228,281.05,281.05,5396.580555555555,5396.580555555555,266.4082934179393,257.11225597521155,27916.867146611432,22815.28851236732,271.55,286.6,14446.302777777779,7185.4333333333325,257.11225597521155,266.4082934179393,22815.28851236732,27916.867146611432,286.6,271.55,7185.4333333333325,14446.302777777779,-2.7755575615628914e-17,-0.3632006080111331,1.2010077087942754,0.39431427511691125,-7.105427357601002e-16,-5.5343366666666665,572.9833355679011,143.87415889646925,1.1368683772161604e-14,76.43935256436828,21867.292081923235,10857.526926900764,-1.1368683772161604e-14,59.154999999999994,5396.580555555555,2618.987472222223,1.7053025658242404e-14,72.10212910928882,27916.867146611432,12576.033548514846,-1.1368683772161604e-14,63.02999999999999,14446.302777777779,2874.634555555555,1.1368683772161604e-14,80.46856280774378,22815.288512367315,13682.940069143633,-2.2737367544323207e-14,49.485,7185.433333333333,6752.943361111112
7,0.9458095938121558,0.1815860412074104,0.8463565122990953,1.653950251434816,62.96588333333334,60.73815,133.22737045709877,424.64476587314823,250.90138878136491,250.90138878136491,13805.467556059371,13805.467556059371,255.45,255.45,3705.0249999999996,3705.0249999999996,222.60270888697568,279.01444045283733,16413.46245824113,19040.228819403732,234.15,268.35,7500.113888888888,6013.836111111112,279.01444045283733,222.60270888697568,19040.228819403732,16413.46245824113,268.35,234.15,6013.836111111112,7500.113888888888,-2.2204460492503132e-17,0.08490152247779983,0.8463565122990953,1.0051338667587808,-3.552713678800501e-15,-1.5712316666666688,133.2273704570988,268.94517850015126,1.9895196601282804e-14,64.32090685959152,13805.467556059373,3919.7925135908954,1.1368683772161604e-14,30.994999999999997,3705.0249999999996,950.8030277777777,1.4210854715202004e-14,89.62375513381825,16413.46245824113,7362.605007026307,-5.684341886080802e-15,41.040000000000006,7500.113888888888,1876.8871111111102,1.1368683772161604e-14,38.85319672454273,19040.228819403732,5261.11113189816,-2.2737367544323207e-14,10.260000000000002,6013.836111111112,2017.0282222222215
8,0.2131757169746132,0.5497890343817844,1.3085685626598835,0.4436409762414028,60.97011666666667,72.52701666666668,246.32862348179015,225.78546060154324,73.87200694189731,73.87200694189731,4240.240196416223,4240.240196416223,145.05,145.05,3532.2472222222227,3532.2472222222227,75.19714829255017,72.44451655724386,4017.716123108379,7712.24896832822,158.6,130.0,2668.6555555555556,5401.222222222223,72.44451655724386,75.19714829255017,7712.24896832822,4017.716123108379,130.0,158.6,5401.222222222223,2668.6555555555556,9.992007221626409e-17,0.3798411279684195,1.3085685626598835,0.3188175955328576,-4.973799150320701e-15,10.018058333333332,246.3286234817901,114.60164365785492,1.4210854715202005e-15,-130.41141316382286,4240.240196416223,3958.4628696454183,-1.1368683772161604e-14,-90.44500000000001,3532.2472222222223,2966.5219166666666,-7.105427357601002e-15,-131.68672482121784,4017.716123108379,6271.089088249161,5.684341886080802e-15,-104.86499999999998,2668.6555555555556,4265.558916666667,-9.947598300641402e-15,-129.20935625944213,7712.248968328222,5024.878207022108,0.0,-79.125,5401.222222222223,4098.121805555555
9,-0.4068981806760871,0.27895126232046896,0.40899511982463577,0.5897174444105558,45.74288333333333,65.67773333333334,242.706511827469,308.5125106185185,249.5713233391138,249.5713233391138,9162.849368200132,9162.849368200132,245.9,245.9,3166.5444444444447,3166.5444444444447,271.86146192633834,226.89074204280578,13565.769941111492,14673.29969322817,266.75,239.7,5739.847222222222,5403.622222222224,226.89074204280578,271.86146192633834,14673.29969322817,13565.769941111492,239.7,266.75,5403.622222222224,5739.847222222222,2.2204460492503132e-17,0.04699596614203409,0.40899511982463577,0.2554267419485795,1.0658141036401502e-15,1.6460516666666662,242.70651182746911,139.4001580673117,-2.5579538487363607e-14,62.85783487311526,9162.84936820013,4990.680086431823,-5.684341886080802e-15,20.490000000000002,3166.5444444444443,1637.4298888888889,-1.9895196601282804e-14,42.42593202772288,13565.769941111492,9734.940768163757,0.0,15.65,5739.847222222222,4415.759444444445,-5.968558980384842e-14,82.89957992290219,14673.299693228173,5954.530716875581,1.1368683772161604e-14,39.995,5403.622222222223,2073.04025
10,-0.2434475976864396,0.3835144532852846,1.1299210960217847,0.7294549071420623,57.17886666666667,58.824200000000005,304.964073819753,469.5429027024692,189.83583737322584,189.83583737322584,6258.707435621028,6258.707435621028,221.35,221.35,1666.7250000000001,1666.7250000000001,132.6975335780681,246.98713616298647,9659.300587210791,7285.345944541001,177.95,266.9,2679.3027777777784,3940.6555555555565,246.98713616298647,132.6975335780681,7285.345944541001,9659.300587210791,266.9,177.95,3940.6555555555565,2679.3027777777784,-2.2204460492503132e-17,0.16790421540581446,1.1299210960217847,0.1999726417163237,-6.7501559897209515e-15,-4.063883333333333,304.964073819753,302.01807543987655,-1.5631940186722205e-14,-2.8511996893614993,6258.707435621029,2101.133660252946,5.684341886080802e-15,-6.515000000000001,1666.7249999999997,532.8172499999998,5.684341886080802e-15,48.605933313076605,9659.300587210791,3173.214075220959,1.1368683772161604e-14,33.96999999999999,2679.3027777777775,1941.1789999999996,-5.684341886080802e-15,-54.25470901334997,7285.345944541002,3207.4213454465316,2.2737367544323207e-14,-46.085,3940.655555555555,1545.2355833333338
