video_num,awkward_0,awkward_1,awkward_2,connected_0,connected_1,connected_2,topics_0,topics_1,topics_2,laughter_0,laughter_1,laughter_2,laughter_who_0,laughter_who_1,laughter_who_2,laughter_genuine_0,laughter_genuine_1,laughter_genuine_2,gestures_0,gestures_1,gestures_2,gestures_describe_0,gestures_describe_1,gestures_describe_2,rater_know_0,rater_know_1,rater_know_2,rater_know_how_0,rater_know_how_1,rater_know_how_2,notes_0,notes_1,notes_2,awkward_mean,connected_mean,topics_mean,laughter_genuine_mean,laughter_consensus,laughter_who_consensus,gestures_consensus,laughter_who_consensus_binary
1,68.0,20.0,61.0,14.0,63.0,55.0,50.0,24.0,68.0,2.0,2.0,2.0,,,,,,,2.0,1.0,2.0,nan,Each person nodded slightly,nan,1.0,1.0,1.0,Both are in the same sorority as me; the person on the left also works in Luke's lab with me,The person on the left was my freshman trip leader,friends,nan,nan,nan,49.666666666666664,44.0,47.333333333333336,,2.0,,2.0,
2,0.0,16.0,17.0,0.0,72.0,45.0,80.0,13.0,29.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,2.0,1.0,2.0,,The person on the left is a friend,,nan,nan,nan,11.0,39.0,40.666666666666664,,2.0,,2.0,
3,9.0,6.0,2.0,70.0,88.0,71.0,94.0,78.0,94.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,7.0,7.0,2.0,2.0,2.0,nan,nan,nan,2.0,2.0,1.0,,,classmate,nan,nan,nan,5.666666666666667,76.33333333333333,88.66666666666667,6.666666666666667,1.0,3.0,2.0,2.0
4,13.0,68.0,55.0,70.0,29.0,41.0,78.0,71.0,80.0,2.0,2.0,2.0,,,,,,,1.0,1.0,2.0,Person on the left nodding his head,"The person on the left nodded their head a lot, and the person on the right nodded a couple of times",nan,2.0,2.0,2.0,,,,nan,I think that they were talking about skiing at the Skiway and then transitioned to talking about skiing out West,nan,45.333333333333336,46.666666666666664,76.33333333333333,,2.0,,1.0,
5,10.0,1.0,22.0,57.0,66.0,61.0,100.0,100.0,92.0,2.0,2.0,2.0,,,,,,,2.0,1.0,1.0,nan,"The person on the right scrunched their face and closed their eyes, which seemed to indicate that they were thinking",squeezing eyes,2.0,2.0,2.0,,,,nan,nan,nan,11.0,61.333333333333336,97.33333333333333,,2.0,,1.0,
6,0.0,0.0,15.0,67.0,60.0,41.0,100.0,100.0,99.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,1.0,2.0,2.0,I know the person on the right from the Dartmouth Symphony Orchestra,,,nan,nan,nan,5.0,56.0,99.66666666666667,,2.0,,2.0,
7,18.0,8.0,0.0,71.0,85.0,80.0,100.0,100.0,100.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,Exaggerated facial expression,nan,nan,2.0,2.0,1.0,,,floormate,nan,nan,nan,8.666666666666666,78.66666666666667,100.0,,2.0,,2.0,
8,0.0,7.0,7.0,90.0,81.0,82.0,91.0,81.0,83.0,1.0,1.0,1.0,3.0,1.0,3.0,8.0,6.0,7.0,2.0,2.0,2.0,nan,nan,nan,2.0,2.0,2.0,,,,nan,nan,nan,4.666666666666667,84.33333333333333,85.0,7.0,1.0,3.0,2.0,2.0
9,63.0,34.0,61.0,55.0,37.0,35.0,63.0,13.0,33.0,2.0,2.0,2.0,,,,,,,1.0,1.0,2.0,Nodding their heads,The person on the right nodded slightly,nan,1.0,1.0,2.0,Person on the left I know from being in the Dartmouth Symphony Orchestra together,"The person on the left was my friend and floor mate freshman year, and the person on the right is a friend of mine",,nan,nan,nan,52.666666666666664,42.333333333333336,36.333333333333336,,2.0,,1.0,
10,0.0,8.0,25.0,66.0,84.0,60.0,100.0,92.0,100.0,2.0,2.0,2.0,,,,,,,2.0,1.0,2.0,nan,"The person on the left spread their hands and made an expression, seeming to imply ""I don't know""",nan,2.0,2.0,2.0,,,,nan,nan,nan,11.0,70.0,97.33333333333333,,2.0,,2.0,
11,57.0,8.0,1.0,51.0,86.0,34.0,100.0,100.0,38.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,2.0,1.0,2.0,,The person on the right is my friend,,nan,nan,nan,22.0,57.0,79.33333333333333,,2.0,,2.0,
12,67.0,81.0,77.0,59.0,26.0,24.0,29.0,13.0,37.0,2.0,2.0,2.0,,,,,,,1.0,1.0,2.0,Nodding their head (person on the right),The person on the right nodded,nan,2.0,2.0,1.0,,,writ 5 classmate,nan,nan,nan,75.0,36.333333333333336,26.333333333333332,,2.0,,1.0,
13,22.0,37.0,10.0,4.0,36.0,62.0,100.0,100.0,90.0,2.0,2.0,2.0,,,,,,,2.0,2.0,1.0,nan,nan,exasperated sigh,2.0,2.0,2.0,,,,nan,nan,nan,23.0,34.0,96.66666666666667,,2.0,,2.0,
14,11.0,86.0,41.0,23.0,14.0,42.0,0.0,0.0,13.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,Nodding their head,nan,nan,2.0,2.0,1.0,,,work colleague,nan,nan,nan,46.0,26.333333333333332,4.333333333333333,,2.0,,2.0,
15,70.0,84.0,67.0,37.0,12.0,11.0,0.0,0.0,21.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,2.0,2.0,2.0,,,,nan,nan,i think my rating of closeness is also influenced by posture of speakers in general,73.66666666666667,20.0,7.0,,2.0,,2.0,
16,16.0,72.0,35.0,42.0,21.0,36.0,100.0,100.0,88.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,2.0,2.0,2.0,,,,nan,nan,nan,41.0,33.0,96.0,,2.0,,2.0,
17,5.0,10.0,22.0,79.0,83.0,59.0,100.0,98.0,83.0,2.0,2.0,2.0,,,,,,,1.0,1.0,2.0,Nodding their head,the person on the right nodded,nan,2.0,2.0,2.0,,,,nan,nan,nan,12.333333333333334,73.66666666666667,93.66666666666667,,2.0,,1.0,
18,17.0,14.0,4.0,25.0,76.0,33.0,100.0,100.0,100.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,nan,nan,nan,1.0,2.0,1.0,I know the person on the right (just acquaintances though),,coworker,nan,nan,nan,11.666666666666666,44.666666666666664,100.0,,2.0,,2.0,
19,3.0,5.0,0.0,95.0,93.0,97.0,100.0,92.0,92.0,1.0,1.0,1.0,3.0,3.0,3.0,9.0,8.0,9.0,2.0,2.0,2.0,nan,nan,nan,2.0,2.0,2.0,,,,nan,nan,nan,2.6666666666666665,95.0,94.66666666666667,8.666666666666666,1.0,3.0,2.0,2.0
