condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments,enjoy_centered,connected_centered
long,A,11,65,70,6.492999999999999,7.85,23.151,2,,12.666666666666664,12.0
long,A,15,38,39,18.713,24.3,25.568,2,,-19.0,-8.833333333333336
long,A,18,44,27,15.232000000000001,19.221,23.246,5,no comments,-15.666666666666664,-39.16666666666667
long,A,19,29,28,8.101,15.618,17.699,3,,-24.5,-2.666666666666668
long,A,22,22,32,9.097999999999999,24.553,26.824,2,,-19.166666666666664,-10.833333333333336
long,A,32,57,0,21.005,23.058000000000003,24.252,2,,-6.166666666666664,-20.666666666666668
long,A,34,68,69,19.817,24.128,24.659000000000002,9,,15.833333333333336,20.333333333333336
long,A,35,83,75,29.148000000000003,34.751999999999995,36.67,2,,7.0,0.1666666666666714
long,A,36,55,67,6.157,13.681,18.317,3,,-13.333333333333329,-9.166666666666671
long,A,38,73,76,26.233,32.85,34.134,4,,0.0,3.6666666666666714
long,A,39,0,0,16.156,17.547,18.826,2,,-44.166666666666664,-47.166666666666664
long,A,42,60,43,40.959,46.402,52.974,3,,7.666666666666664,2.6666666666666643
long,A,43,57,31,19.512,22.923000000000002,24.73,5,,2.5,-15.333333333333336
long,A,48,22,19,6.747000000000001,18.331,19.742,2,,-50.16666666666667,-47.0
long,A,51,79,60,18.325,19.517,25.271,2,,7.333333333333329,-2.8333333333333357
long,A,53,58,25,23.778000000000002,29.926,30.535999999999998,3,,2.0,-14.833333333333336
long,A,54,78,80,24.305999999999997,37.51,40.174,4,no,4.333333333333329,0.1666666666666714
long,A,56,30,49,5.73,11.960999999999999,19.604,3,,-18.833333333333336,-11.0
long,A,57,12,57,26.22,30.701,32.354,2,,-47.166666666666664,-22.66666666666667
long,A,61,83,83,28.395,32.277,49.827,3,New Class Friend...,-5.0,-5.0
long,A,67,97,92,10.4,16.317,21.816,5,,3.6666666666666714,2.1666666666666714
long,A,68,36,23,18.277,21.64,24.230999999999998,3,none,-10.0,-10.166666666666664
long,A,72,98,97,19.81,23.371,26.923000000000002,5,NICE,2.6666666666666714,1.1666666666666714
long,A,79,19,7,11.296,13.682,17.438,2,,-22.5,-39.666666666666664
long,A,82,33,49,20.415,24.148000000000003,26.081999999999997,2,,-21.166666666666664,-5.666666666666664
long,A,84,34,17,21.96,23.926,24.924,2,,-9.5,-18.833333333333336
long,A,87,90,74,8.455,10.878,72.814,3,no,8.166666666666671,-10.833333333333329
long,A,89,25,65,6.085,7.455,9.764,2,,-32.0,5.333333333333336
long,A,92,75,76,10.455,20.676,24.206999999999997,3,na,-2.0,3.8333333333333286
long,A,97,63,39,34.834,38.222,39.14,3,,4.333333333333336,-3.1666666666666643
long,A,98,59,72,69.756,72.811,76.99600000000001,4,nice,-8.666666666666671,0.1666666666666714
long,A,99,71,62,37.194,44.667,45.543,3,,0.3333333333333286,19.833333333333336
long,A,100,80,61,24.229,27.357,30.035,3,,17.5,7.833333333333336
long,A,105,55,53,7.016,9.777000000000001,22.159000000000002,2,,-4.333333333333336,-6.166666666666664
long,A,112,84,74,40.461,42.244,43.101000000000006,3,,-4.0,-6.5
long,A,113,64,41,30.225,33.368,34.543,2,,3.3333333333333357,-13.0
long,A,117,59,61,48.74,50.308,52.369,2,,-4.666666666666664,-9.5
long,A,118,71,61,20.072,21.504,22.77,2,,14.166666666666664,5.833333333333336
long,A,119,51,51,21.750999999999998,26.304000000000002,34.569,3,good,2.5,10.166666666666664
long,A,122,75,77,15.263,19.735,21.160999999999998,4,,2.3333333333333286,2.1666666666666714
long,A,126,32,24,10.775,22.557,45.096000000000004,3,"no chemistry, both sound like they rather not talk and get the assignment over with. ",-15.666666666666664,-21.166666666666664
long,A,127,75,84,20.023,22.82,24.065,2,,-4.0,1.3333333333333286
long,A,128,80,86,3.1460000000000004,5.997000000000001,19.269000000000002,3,good speech,3.1666666666666714,3.3333333333333286
long,A,138,70,68,11.325,16.576,22.357,3,,1.0,6.5
long,A,144,47,38,18.66,20.422,21.705,2,,-3.3333333333333357,-1.8333333333333357
long,A,145,54,57,17.836,20.586,22.353,2,,-5.333333333333336,-6.166666666666664
long,A,147,84,84,8.707,43.413999999999994,86.71799999999999,4,abouting our health,2.1666666666666714,-2.6666666666666714
long,A,151,75,63,28.64,41.255,49.7,5,none,15.333333333333336,-7.333333333333329
long,A,152,98,100,18.235,21.206,22.947,3,,0.3333333333333286,3.3333333333333286
long,A,157,50,41,21.291,24.354,25.441999999999997,4,,-3.3333333333333357,-6.666666666666664
long,A,159,99,100,24.843000000000004,44.302,49.675,3,good,-0.8333333333333286,0.5
long,A,165,55,25,22.465999999999998,28.585,31.784000000000002,2,,-3.6666666666666643,-11.5
long,A,167,81,43,49.591,51.398,63.661,2,,-2.0,-23.5
long,A,168,85,96,13.208,17.892,23.634,3,good,-8.5,6.166666666666671
long,A,170,61,30,15.667,20.362000000000002,21.049,6,,2.8333333333333357,-21.333333333333336
long,A,175,47,59,32.979,38.073,39.647,5,,-14.5,5.333333333333336
long,A,179,89,94,9.936,18.651,29.081999999999997,3,nice think,-2.0,-2.1666666666666714
long,A,182,32,27,21.590999999999998,23.554000000000002,24.142,4,,-26.666666666666664,-26.333333333333336
long,A,190,77,41,35.548,37.644,39.12,2,,2.3333333333333286,-5.833333333333336
long,A,192,48,40,16.889,18.633,19.887,2,,-2.8333333333333357,9.666666666666668
long,A,193,78,64,4.012,5.226,30.98,2,,-0.5,-5.666666666666671
long,A,194,54,55,23.002,24.651999999999997,25.708000000000002,2,,3.0,8.5
long,A,195,21,0,7.207000000000001,20.613000000000003,21.875999999999998,5,,-2.833333333333332,-13.666666666666666
long,A,198,63,71,34.855,36.86,37.894,9,,-7.0,-5.833333333333329
long,A,202,46,37,17.79,19.519000000000002,20.975,2,,-1.5,4.0
long,A,204,79,77,8.24,10.847999999999999,70.678,3,good communication for this ladies.,2.0,-11.0
long,A,206,86,93,3.923,16.905,21.748,4,good,-5.666666666666671,-1.8333333333333286
long,A,208,26,6,21.728,28.934,32.025999999999996,4,,-15.166666666666664,-17.333333333333332
long,A,214,38,39,20.651999999999997,25.074,32.4,3,no comments,-13.5,-14.833333333333336
long,A,215,85,97,54.727,57.63,69.53,3,clear audio,-2.3333333333333286,7.5
long,A,216,81,90,73.742,75.757,84.314,3,clear audio,-3.1666666666666714,11.333333333333329
long,A,218,45,49,23.430999999999997,25.496,27.188000000000002,2,,-16.166666666666664,-9.666666666666664
long,A,222,45,39,25.861,30.180999999999997,31.813000000000002,2,,-1.0,-3.1666666666666643
long,A,224,49,48,9.892999999999999,20.053,21.539,3,,-3.1666666666666643,2.0
long,A,227,65,81,316.798,319.719,320.685,2,,-14.166666666666671,1.5
long,A,228,59,64,3.667,4.756,18.114,2,,8.833333333333336,12.666666666666664
long,A,229,88,80,34.158,37.336999999999996,42.73,3,Fair,6.166666666666671,-2.1666666666666714
long,A,233,61,26,13.57,19.315,20.737,2,,-2.1666666666666643,-3.666666666666668
long,A,235,80,65,23.747,35.789,38.556,3,,15.0,6.5
long,A,237,51,55,17.497,18.358,19.202,2,,1.1666666666666643,12.0
long,A,240,55,68,19.85,23.566,24.574,3,,-11.166666666666671,-4.0
long,A,241,44,29,18.383,19.285,20.403,2,,-10.5,-20.833333333333336
long,A,245,76,74,22.551,25.206,27.156,3,It was good,-7.0,-9.666666666666671
long,A,250,62,51,7.093999999999999,12.42,14.637,6,,14.0,7.333333333333336
long,A,251,83,75,22.941,25.54,36.798,2,,7.0,10.833333333333329
long,A,252,65,67,18.633,20.315,21.239,2,,-0.3333333333333286,1.1666666666666714
long,A,260,79,72,37.18,40.5,41.736000000000004,3,,2.0,0.3333333333333286
long,A,267,56,5,8.183,22.221,23.585,4,,-7.333333333333336,-24.0
long,A,270,92,81,5.263999999999999,7.33,54.93600000000001,2,,8.166666666666671,-3.1666666666666714
long,A,272,61,56,110.631,114.35799999999999,117.93299999999999,4,good,-0.8333333333333357,-2.8333333333333357
long,A,273,57,67,18.426,43.202,45.065,12,not to loud ,-4.333333333333336,-4.666666666666671
long,A,274,44,32,1.5130000000000001,22.464000000000002,24.603,4,,-18.5,-27.0
long,A,277,82,58,24.73,35.068000000000005,36.06,4,,-2.3333333333333286,-13.166666666666671
long,A,282,100,100,19.188,21.428,22.572,2,,0.0,10.666666666666671
long,A,290,68,34,99.209,105.728,108.56700000000001,4,,11.333333333333336,1.3333333333333357
long,A,291,40,10,15.93,23.171,23.572,6,,-19.833333333333336,-35.833333333333336
long,A,292,65,87,8.943,13.112,17.833,3,,12.833333333333336,20.66666666666667
long,A,295,66,53,11.575999999999999,13.28,17.864,3,,-2.3333333333333286,-3.3333333333333357
long,A,296,44,7,6.035,13.325999999999999,18.485,6,,-19.333333333333336,-21.333333333333332
long,A,302,73,87,4.636,7.301,30.203000000000003,7,,-2.0,3.6666666666666714
long,A,304,78,84,43.758,55.476000000000006,75.874,4,the voices are breaking,-5.833333333333329,-1.6666666666666714
long,A,306,11,0,13.647,15.597999999999999,16.597,4,,1.833333333333334,-2.5
long,A,308,51,29,7.792000000000001,22.96,25.13,3,,-32.66666666666667,-28.666666666666664
long,A,314,58,55,75.578,80.755,82.53299999999999,2,,-2.8333333333333357,-3.3333333333333357
long,A,315,44,25,28.910999999999998,33.605,35.34,4,none,-9.666666666666664,-11.333333333333336
long,A,325,59,71,20.855,26.121,27.642,2,,-5.0,-2.8333333333333286
long,A,326,58,5,17.52,18.979,20.311,2,,-2.0,-22.0
long,A,328,72,69,2.33,4.781000000000001,19.451,4,,-5.833333333333329,-3.3333333333333286
long,A,329,21,10,12.299000000000001,19.952,20.897,5,,-12.166666666666664,-14.666666666666668
long,A,330,70,63,13.442,18.073,19.429000000000002,2,,-5.0,-4.666666666666671
long,A,332,32,56,18.452,21.948,22.971,7,,-11.666666666666664,8.0
long,A,336,99,98,6.331,7.285,8.135,2,,-0.6666666666666714,-1.3333333333333286
long,A,340,62,73,27.531,42.145,44.463,5,,-5.333333333333329,0.6666666666666714
long,A,345,81,74,18.27,25.116999999999997,25.529,4,GOOD,-2.8333333333333286,-7.333333333333329
long,A,348,54,54,16.305999999999997,19.038,20.277,2,,-3.8333333333333357,-3.0
long,A,350,12,8,18.434,20.697,22.355,2,,-36.666666666666664,-43.0
long,A,351,70,71,29.193,30.738000000000003,32.772,2,,2.5,-1.0
long,A,361,29,32,23.084,24.31,28.421,2,,-12.666666666666664,-19.666666666666664
long,A,362,59,55,44.736000000000004,48.193000000000005,49.29,6,,-6.666666666666671,-13.0
long,A,363,54,54,19.851,21.467,22.818,2,,0.5,-0.3333333333333357
long,A,369,61,70,12.825999999999999,14.83,17.055,2,,-6.833333333333329,1.3333333333333286
long,A,370,67,73,11.238,20.954,22.778000000000002,5,,-8.666666666666671,1.3333333333333286
long,A,371,62,84,3.6889999999999996,7.626,9.865,3,,-0.5,9.333333333333329
long,A,376,59,64,20.41,27.421,29.278000000000002,2,,0.5,9.666666666666664
long,A,380,54,18,64.324,80.682,82.337,4,Seeme to be new to each other,9.333333333333336,-12.666666666666668
long,A,383,31,31,22.908,36.586,62.887,4,,-13.666666666666664,-5.5
long,A,384,51,39,19.1,22.675,23.622,6,,-11.0,-19.166666666666664
long,A,387,76,57,23.22,24.805999999999997,29.049,2,,-1.5,-3.8333333333333357
long,A,391,64,72,26.625,28.903000000000002,31.436,2,,7.0,4.833333333333329
long,A,396,60,20,25.316999999999997,33.766999999999996,34.606,3,,-0.5,-22.833333333333336
long,A,399,89,81,2.952,5.226,19.392,3,Very exciting in the audio,5.5,-4.666666666666671
long,A,401,42,18,2.696,40.391999999999996,47.23,4,,-7.666666666666664,-18.0
long,A,404,80,87,708.123,712.2130000000001,720.328,6,,-9.833333333333329,-0.8333333333333286
long,A,407,74,57,13.774000000000001,15.794,52.43,2,,-3.0,-18.0
long,A,408,67,65,8.151,17.865,21.781,2,,-3.3333333333333286,-5.166666666666671
long,A,414,73,62,7.755,27.259,27.969,5,Audio was a bit low.,4.0,13.333333333333336
long,A,415,92,94,17.787,20.139,21.901,2,,6.5,10.166666666666671
long,A,420,26,2,5.4510000000000005,19.659000000000002,22.149,4,,-15.0,-6.666666666666666
long,A,422,55,55,4.0760000000000005,16.783,19.594,3,,2.3333333333333357,-0.1666666666666643
long,A,425,32,8,22.69,24.636999999999997,25.523000000000003,5,,-14.5,-27.5
long,A,426,83,70,44.56100000000001,46.239,47.103,2,,4.5,5.0
long,A,429,12,10,8.2,9.9,20.22,3,,-27.5,-34.666666666666664
long,A,431,92,74,17.397000000000002,19.685,21.459,3,,-0.8333333333333286,-4.833333333333329
long,A,436,71,67,13.712,18.901,27.416,3,the audio quality wasn't great,9.0,0.0
long,A,437,62,63,23.983,25.318,26.891,2,,12.0,19.0
long,A,442,78,97,2.966,21.596,21.909000000000002,8,well speech ,-13.333333333333329,11.5
long,A,444,64,63,7.641,15.838,17.498,4,,10.333333333333336,4.333333333333336
long,A,445,79,79,18.622,20.172,20.985,3,,-0.8333333333333286,0.0
long,A,446,79,35,161.013,163.725,164.997,3,,19.333333333333336,-17.333333333333336
long,A,447,65,67,14.117,19.39,23.421,4,,-1.3333333333333286,4.5
long,B,2,35,33,8.139,20.55,21.886999999999997,4,,-23.5,-22.166666666666664
long,B,3,43,41,4.569,24.78,28.003,2,,16.166666666666668,10.833333333333332
long,B,7,25,65,27.677,29.486,33.245,2,,-33.0,12.166666666666664
long,B,10,51,51,27.378,28.964000000000002,30.583000000000002,2,,1.1666666666666643,2.5
long,B,12,53,58,4.779,51.928000000000004,52.913999999999994,6,,14.5,12.666666666666664
long,B,14,51,51,35.566,39.033,40.157,5,,-1.1666666666666643,-8.5
long,B,18,28,82,26.491,33.223,33.69,5,no comments,-31.666666666666664,15.833333333333329
long,B,19,65,35,27.845,29.42,30.265,2,,11.5,4.333333333333332
long,B,21,86,93,4.298,6.028,7.711,2,,0.1666666666666714,3.0
long,B,26,62,52,18.98,30.401,32.596,4,,-1.8333333333333357,-2.0
long,B,34,31,17,12.664000000000001,25.785,28.189,10,,-21.166666666666664,-31.666666666666664
long,B,37,63,58,27.538,29.474,30.74,2,,9.166666666666664,8.0
long,B,38,75,76,21.379,28.36,29.646,3,,2.0,3.6666666666666714
long,B,40,70,85,2.423,41.85,48.708999999999996,5,good,12.5,21.666666666666664
long,B,41,79,78,21.351,23.569000000000003,24.895,2,,-0.8333333333333286,-5.166666666666671
long,B,45,63,51,6.712000000000001,32.8,35.762,6,,10.166666666666664,3.0
long,B,48,82,78,14.823,23.570999999999998,27.298000000000002,4,,9.833333333333329,12.0
long,B,57,65,94,32.084,39.375,41.714,2,,5.833333333333336,14.333333333333329
long,B,58,85,100,3.486,5.867000000000001,7.263999999999999,3,,-0.8333333333333286,5.5
long,B,63,69,50,8.437999999999999,11.599,12.593,6,,-5.5,-9.833333333333336
long,B,66,80,78,31.316,34.986999999999995,36.010999999999996,2,,5.833333333333329,20.166666666666664
long,B,67,81,89,16.641,41.03,44.908,4,Good,-12.333333333333329,-0.8333333333333286
long,B,71,52,44,25.802,33.916,35.301,3,,12.5,9.166666666666664
long,B,72,96,95,79.47399999999999,82.191,88.09,4,VERY WELL,0.6666666666666714,-0.8333333333333286
long,B,79,80,57,19.675,21.753,34.656,2,,38.5,10.333333333333336
long,B,81,79,86,29.787,56.521,57.565,6,they both seemed to have easy conversation,13.833333333333329,25.166666666666664
long,B,84,40,34,32.927,36.031,38.323,2,,-3.5,-1.8333333333333357
long,B,86,82,85,32.125,64.611,67.375,5,very nice,2.0,0.6666666666666714
long,B,87,75,88,5.922999999999999,8.486,35.541,4, no,-6.833333333333329,3.1666666666666714
long,B,88,71,69,17.611,20.331,31.834,3,good voice,0.5,-1.0
long,B,100,72,68,39.781,44.803999999999995,50.397,5,good,9.5,14.833333333333336
long,B,105,59,62,64.245,66.29899999999999,67.194,3,,-0.3333333333333357,2.8333333333333357
long,B,106,24,23,24.066999999999997,43.451,44.306000000000004,4,,-32.0,-44.5
long,B,108,79,77,4.821000000000001,10.07,31.094,14,,3.5,-5.333333333333329
long,B,109,69,60,11.411,18.573,27.114,4,,5.333333333333336,3.1666666666666643
long,B,113,68,79,33.025999999999996,38.766,39.296,4,good,7.333333333333336,25.0
long,B,114,70,63,6.246,14.132,34.186,2,,20.833333333333336,11.5
long,B,115,62,61,15.637,38.150999999999996,42.385,4,GOOD,3.1666666666666643,-2.5
long,B,121,63,64,31.72,33.024,33.893,2,,-15.5,-17.0
long,B,123,95,84,40.344,41.853,46.628,3,nice,0.1666666666666714,-3.0
long,B,125,80,61,20.664,25.897,62.831,2,,3.1666666666666714,-8.333333333333329
long,B,128,78,84,2.693,5.081,75.199,3,nice,1.1666666666666714,1.3333333333333286
long,B,129,66,30,1.8559999999999999,19.599,25.851,5,,-7.166666666666671,-5.666666666666664
long,B,131,77,75,4.0569999999999995,6.191,36.388000000000005,3,nice voice,-1.1666666666666714,-1.8333333333333286
long,B,134,97,81,20.627,36.253,37.548,6,,5.333333333333329,-5.333333333333329
long,B,139,100,99,18.131,24.608,71.164,4,GOOD,0.3333333333333286,-0.5
long,B,141,35,35,29.403000000000002,67.829,88.803,4,"I felt like they both got a bit defensive, especially the girl naming all the sloane's. ",-36.33333333333333,-29.33333333333333
long,B,144,44,27,16.605999999999998,27.05,27.636,4,,-6.333333333333336,-12.833333333333336
long,B,149,63,12,35.235,40.091,42.946999999999996,2,,-0.6666666666666643,-33.5
long,B,152,100,93,18.885,22.925,24.093000000000004,4,,2.3333333333333286,-3.6666666666666714
long,B,155,70,97,2.5540000000000003,3.988,26.454,3,,-2.6666666666666714,8.5
long,B,159,100,99,15.399000000000001,22.113000000000003,27.412,5,good,0.1666666666666714,-0.5
long,B,162,70,32,20.874000000000002,28.541,30.592,3,,24.333333333333336,-0.6666666666666643
long,B,167,64,64,8.982999999999999,27.889,32.024,3,,-19.0,-2.5
long,B,169,91,96,35.808,39.327,40.545,5,,14.166666666666671,14.5
long,B,172,74,58,11.095999999999998,25.791999999999998,28.275,6,,22.333333333333336,12.666666666666664
long,B,176,89,89,35.708,42.141000000000005,46.603,3,Good,7.333333333333329,2.8333333333333286
long,B,178,63,49,29.230999999999998,30.750999999999998,33.138000000000005,2,,2.1666666666666643,-8.0
long,B,180,30,41,21.480999999999998,33.533,35.319,3,,-17.833333333333336,-0.3333333333333357
long,B,188,65,70,44.873999999999995,49.966,50.832,3,,-13.666666666666671,-7.333333333333329
long,B,190,73,38,171.24900000000002,176.162,177.199,3,,-1.6666666666666714,-8.833333333333336
long,B,191,70,90,3.293,9.493,75.02,2,,-13.0,8.833333333333329
long,B,198,73,88,29.936,31.584,32.656,7,,3.0,11.166666666666671
long,B,201,57,57,20.855,25.182,25.825,2,,1.0,0.1666666666666643
long,B,203,55,33,30.78,36.964,40.611,2,,1.5,-10.0
long,B,206,93,100,21.405,27.328000000000003,64.593,4,Good,1.3333333333333286,5.166666666666671
long,B,209,42,32,29.093000000000004,30.949,31.901999999999997,2,,-23.83333333333333,-30.666666666666664
long,B,213,87,86,2.7560000000000002,7.3,11.52,5,none,1.0,7.833333333333329
long,B,215,90,95,13.177999999999999,39.079,62.972,4,clear audio,2.6666666666666714,5.5
long,B,218,58,45,21.787,30.671,31.445999999999998,2,,-3.1666666666666643,-13.666666666666664
