subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
25,201,69,80,49,66,74,75,11,68,89,89,92,68,81,34,95,3.5,,91,95,1,-0.30819952895926395,-0.08728965162776647,1.3350186765703012,-0.5362528040375384,0.3285993879663978,0.4921132322249537
201,25,83,85,62,89,62,98,85,69,88,17,90,76,68,67,93,3.5,,95,75,1,-0.013250001515468204,0.35653055087627394,-0.6534593525079938,0.5211825228771604,-0.28918299029541683,-0.5730398711209757
30,202,96,97,58,95,100,86,60,92,97,64,84,94,75,73,88,1.5,,100,91,1,0.09297361448876527,0.8477304022183141,0.7137072414467587,0.7348233583925844,0.55254981832632,0.39730883097610303
202,30,77,82,50,76,31,74,75,68,68,64,85,67,73,69,75,1.6,,73,67,2,-0.5043799638653729,-0.5330855870213683,-0.5224139690161139,0.17857867125812896,-0.09114544301203242,0.5668676884265894
101,203,92,99,56,62,78,80,26,59,80,42,74,44,65,36,84,1.0,,51,52,2,0.3344902484989446,-0.2543775721847249,-1.423447888660199,-0.7583382301486684,-0.4829395359038426,-0.5387800433890718
203,101,83,86,53,36,72,64,2,36,64,69,82,70,69,65,91,0.6,,50,42,2,0.16060597249518682,-1.6002356743400208,-1.781144130671634,0.14411036375587707,-0.9825434099228064,0.5657264009090214
101,204,98,99,51,65,91,69,44,71,89,73,89,45,66,58,88,0.8,,83,70,2,0.47011424461111234,-0.1996026437670855,-0.24958804539125515,-0.9667660117010042,-0.12341059269693255,0.48309212203743285
204,101,83,86,74,57,11,50,30,43,66,69,92,78,57,74,87,0.7,,78,69,2,-0.04983862343220918,-1.6097095934986863,0.33708274177086206,0.48217965586328865,-1.2759901669154126,0.5344645039701273
67,205,99,99,51,100,74,99,5,99,98,67,100,100,99,64,100,2.0,,100,82,1,0.8407678528270582,0.4889171846527313,-0.44473032483580854,0.9784842481361783,1.1089949300401545,0.41216726687565114
205,67,98,100,62,38,37,76,10,79,92,70,71,77,75,55,66,2.6,,92,87,1,0.09787733734924986,-1.27409656571904,0.7025391906263854,0.2974189861619335,0.42441650009427173,-0.07543334761911004
206,49,85,100,38,90,85,100,7,91,100,33,100,90,67,33,100,4.0,,100,100,2,0.5548437366952446,0.6776443220049901,1.1189973247361857,-0.14260761010834466,0.7256893391372015,-1.0295055644267699
49,206,100,100,65,100,100,72,0,51,100,66,100,55,90,40,100,3.5,,100,90,2,0.821911619737059,1.2168772127091954,-0.0017950414509720748,-0.6326418623695756,-0.6531555171630637,-0.10059112535152126
101,207,91,67,66,93,83,57,58,67,77,44,82,67,64,40,86,0.7,,49,31,2,-0.6106360698635914,0.5478691342503261,-2.5864407533065257,0.432346832507191,0.14546921573816732,0.07246257285094296
207,101,63,76,97,89,72,0,0,51,64,61,74,95,80,63,77,0.5,,50,34,1,-1.1414256029198204,0.23064380183903668,-2.115588256525199,2.1180639466381095,-0.37728673809132934,0.6544371762104688
25,208,94,100,74,76,76,77,16,90,100,83,100,92,83,88,90,3.5,,100,100,1,0.4182352350613249,0.03638018374158369,1.0693634887174883,0.8664559222470645,0.5264460941021374,0.8315235295714201
208,25,95,95,20,79,89,84,50,75,88,89,89,60,75,32,100,4.0,,100,90,1,0.5501762442310636,0.1841632050081892,0.26691077339546776,-1.2991568077402131,0.4084152571629139,0.3750864924072598
25,209,73,31,60,79,72,78,0,82,69,6,21,80,37,29,18,3.6,,68,70,1,-4.056596495106679,1.3343932392976456,0.08288137312716051,1.0651868268191402,1.4077547520383455,-1.3506395299052592
209,25,100,100,48,63,54,65,17,100,100,0,76,93,90,0,78,4.0,,21,33,1,0.7706077535054102,-0.24879570298044404,-3.224958709148227,0.9817312705796166,1.742425401440515,-2.1261114762917
67,210,85,95,56,88,71,97,6,71,90,52,85,86,81,60,96,2.0,,74,74,1,0.3143810262694201,0.4104719976791002,-0.5107502893780144,0.5267221042558446,0.07675328285974463,-0.010086527823861673
210,67,89,76,34,55,47,87,0,65,64,71,87,56,59,14,96,2.5,,65,78,1,-0.06778152466870746,-1.1877245901180267,0.6637372160832693,-1.1987972687887325,-0.03260829717751891,-0.24570955624283639
21,211,81,81,49,77,26,76,7,83,71,33,83,31,70,42,82,1.5,,88,88,1,-0.4635561523490536,-0.4234883971686621,1.1577914450673032,-1.0531012873858516,0.2559676350648649,-0.602414364449141
211,21,88,75,82,33,19,73,55,33,62,41,64,75,66,44,62,2.0,,92,71,1,-0.7894590601828884,-1.8801099179987104,0.03787871731300631,0.827288331104832,-1.3822551990567522,-0.626153247737337
21,212,91,92,51,93,92,60,2,74,76,35,85,66,74,80,91,1.5,,82,67,1,0.037852099609393196,0.484355602920807,-0.908899315932417,0.2868251537972574,0.026124760997979626,0.007109690236830546
212,21,100,100,51,75,76,95,20,59,84,94,100,68,77,29,91,2.0,,100,68,1,0.8639152852036674,-0.25524172834707837,-1.1159824295050187,-0.5266794834116079,-0.3069310683296973,0.5239622662394743
21,213,93,89,74,88,73,83,56,32,79,58,71,68,63,92,85,1.5,,91,93,1,-0.35201367395684224,0.5271684932722037,0.9622328932229949,0.18342210169455608,-1.835260899502129,0.3970698679340429
213,21,95,100,27,26,0,84,18,86,69,100,100,74,59,24,94,1.5,,91,68,1,1.0588895935220217,-3.052044206780662,0.03872947610626372,-0.8179165920930526,0.5800972360009503,0.4646886081121153
67,214,100,95,59,100,97,92,3,96,97,56,99,97,93,54,100,3.1,,93,97,1,0.5654564093938953,0.8628743860400887,0.6946961143398721,0.8072328652772247,0.8722113842496187,-0.1392360927912786
214,67,97,99,51,70,66,86,0,78,82,74,85,83,82,67,99,3.0,,85,100,1,0.5462639121303983,-0.4860244101749671,1.2652522673320974,0.17523808542011646,0.0971740983552872,0.2627486871785517
30,215,92,94,78,89,88,81,61,38,58,39,76,100,90,71,99,1.5,,92,93,1,0.17829108138718328,-0.06704853584144921,0.7464002053186839,1.5229262794259704,-1.834821141492092,-0.32161669035780616
215,30,91,88,24,84,52,49,10,92,95,81,96,66,67,87,86,1.7,,95,85,2,-0.036356702844423244,0.07084975087367636,0.7047885467184576,-0.5935654559643946,1.096477979327202,1.0505487420284145
4,216,96,100,46,93,95,99,59,94,92,97,98,95,84,68,100,2.0,,51,74,1,0.7068722558645238,0.5518044459424111,-0.5078755811205931,0.4031473712487029,0.8102225266347388,1.129195643453246
