turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.684,00:03.959,684.0,684.0,3959.0,10.0
1,S2,00:05.080,00:45.854,1121.0,5080.0,45854.0,131.0
2,S1,00:46.010,00:46.180,156.0,46010.0,46180.0,1.0
3,S2,00:46.200,00:47.090,20.0,46200.0,47090.0,2.0
4,S1,00:47.477,00:48.129,387.0,47477.0,48129.0,3.0
5,S2,00:49.466,00:49.600,1337.0,49466.0,49600.0,1.0
6,S1,00:49.700,00:49.900,100.0,49700.0,49900.0,2.0
7,S2,00:49.860,00:50.806,-40.0,49860.0,50806.0,5.0
8,S1,00:50.849,00:51.386,43.0,50849.0,51386.0,2.0
9,S2,00:50.889,00:59.960,-497.0,50889.0,59960.0,36.0
10,S1,00:59.960,01:01.274,0.0,59960.0,61274.0,8.0
11,S2,01:01.570,01:13.302,296.0,61570.0,73302.0,33.0
12,S1,01:13.833,01:14.035,531.0,73833.0,74035.0,1.0
13,S2,01:14.485,01:17.007,450.0,74485.0,77007.0,8.0
14,S1,01:18.618,01:27.481,1611.0,78618.0,87481.0,35.0
15,S2,01:27.654,01:29.107,173.0,87654.0,89107.0,10.0
16,S1,01:29.867,01:35.646,760.0,89867.0,95646.0,11.0
17,S2,01:35.804,01:37.490,158.0,95804.0,97490.0,10.0
18,S1,01:37.046,01:37.918,-444.0,97046.0,97918.0,3.0
19,S2,01:38.270,01:41.117,352.0,98270.0,101117.0,16.0
20,S1,01:43.027,01:45.052,1910.0,103027.0,105052.0,8.0
21,S2,01:45.316,01:49.099,264.0,105316.0,109099.0,18.0
22,S1,01:49.020,01:49.380,-79.0,109020.0,109380.0,1.0
23,S2,01:49.380,01:49.983,0.0,109380.0,109983.0,2.0
24,S1,01:49.983,01:50.354,0.0,109983.0,110354.0,3.0
25,S2,01:51.675,01:54.060,1321.0,111675.0,114060.0,11.0
26,S1,01:54.807,01:57.928,747.0,114807.0,117928.0,8.0
27,S2,01:58.534,01:58.846,606.0,118534.0,118846.0,1.0
28,S1,01:59.595,02:01.026,749.0,119595.0,121026.0,4.0
29,S2,01:59.554,02:03.185,-1472.0,119554.0,123185.0,15.0
30,S1,02:03.270,02:04.707,85.0,123270.0,124707.0,4.0
31,S2,02:04.813,02:08.961,106.0,124813.0,128961.0,21.0
32,S1,02:09.554,02:10.740,593.0,129554.0,130740.0,6.0
33,S2,02:11.031,02:12.763,291.0,131031.0,132763.0,3.0
34,S1,02:13.264,02:14.855,501.0,133264.0,134855.0,4.0
35,S2,02:14.689,02:20.115,-166.0,134689.0,140115.0,21.0
36,S1,02:20.024,02:20.182,-91.0,140024.0,140182.0,1.0
37,S2,02:20.573,02:25.347,391.0,140573.0,145347.0,15.0
38,S1,02:24.530,02:25.071,-817.0,144530.0,145071.0,5.0
39,S2,02:25.586,02:25.667,515.0,145586.0,145667.0,1.0
40,S1,02:25.920,02:26.335,253.0,145920.0,146335.0,5.0
41,S2,02:26.094,02:31.721,-241.0,146094.0,151721.0,37.0
42,S1,02:32.010,02:32.106,289.0,152010.0,152106.0,1.0
43,S2,02:33.643,02:37.353,1537.0,153643.0,157353.0,17.0
44,S1,02:37.351,02:39.656,-2.0,157351.0,159656.0,10.0
45,S2,02:38.856,02:40.412,-800.0,158856.0,160412.0,8.0
46,S1,02:40.546,02:43.162,134.0,160546.0,163162.0,10.0
47,S2,02:41.725,03:06.414,-1437.0,161725.0,186414.0,107.0
48,S1,03:06.490,03:09.114,76.0,186490.0,189114.0,12.0
49,S2,03:09.414,03:11.156,300.0,189414.0,191156.0,11.0
50,S1,03:11.785,03:12.789,629.0,191785.0,192789.0,3.0
51,S2,03:14.173,03:15.681,1384.0,194173.0,195681.0,8.0
52,S1,03:16.463,03:16.642,782.0,196463.0,196642.0,1.0
53,S2,03:16.642,03:17.771,0.0,196642.0,197771.0,7.0
54,S1,03:17.895,03:18.249,124.0,197895.0,198249.0,2.0
55,S2,03:18.715,03:19.170,466.0,198715.0,199170.0,3.0
