turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.265,00:01.074,265.0,265.0,1074.0,2.0
1,S2,00:01.670,00:02.120,596.0,1670.0,2120.0,2.0
2,S1,00:02.150,00:03.340,30.0,2150.0,3340.0,6.0
3,S2,00:03.545,00:04.070,205.0,3545.0,4070.0,5.0
4,S1,00:04.580,00:04.782,510.0,4580.0,4782.0,1.0
5,S2,00:05.760,00:06.500,978.0,5760.0,6500.0,6.0
6,S1,00:06.520,00:06.600,20.0,6520.0,6600.0,1.0
7,S2,00:06.670,00:08.047,70.0,6670.0,8047.0,6.0
8,S1,00:08.385,00:13.213,338.0,8385.0,13213.0,16.0
9,S2,00:13.557,00:15.581,344.0,13557.0,15581.0,8.0
10,S1,00:15.825,00:17.389,244.0,15825.0,17389.0,10.0
11,S2,00:17.795,00:17.955,406.0,17795.0,17955.0,1.0
12,S1,00:18.257,00:18.817,302.0,18257.0,18817.0,3.0
13,S2,00:19.642,00:22.597,825.0,19642.0,22597.0,17.0
14,S1,00:22.705,00:23.455,108.0,22705.0,23455.0,3.0
15,S2,00:24.048,00:36.485,593.0,24048.0,36485.0,38.0
16,S1,00:36.485,00:37.103,0.0,36485.0,37103.0,4.0
17,S2,00:37.457,00:38.712,354.0,37457.0,38712.0,9.0
18,S1,00:39.033,00:46.563,321.0,39033.0,46563.0,40.0
19,S2,00:46.835,01:02.022,272.0,46835.0,62022.0,66.0
20,S1,01:02.152,01:02.538,130.0,62152.0,62538.0,4.0
21,S2,01:02.876,01:04.006,338.0,62876.0,64006.0,3.0
22,S1,01:04.094,01:06.080,88.0,64094.0,66080.0,9.0
23,S2,01:06.655,01:07.831,575.0,66655.0,67831.0,4.0
24,S1,01:07.937,01:08.891,106.0,67937.0,68891.0,2.0
25,S2,01:09.084,01:09.632,193.0,69084.0,69632.0,4.0
26,S1,01:09.941,01:16.800,309.0,69941.0,76800.0,26.0
27,S2,01:16.849,01:17.985,49.0,76849.0,77985.0,8.0
28,S1,01:17.889,01:18.263,-96.0,77889.0,78263.0,2.0
29,S2,01:18.487,01:20.062,224.0,78487.0,80062.0,6.0
30,S1,01:20.333,01:20.831,271.0,80333.0,80831.0,2.0
31,S2,01:21.028,01:21.561,197.0,81028.0,81561.0,2.0
32,S1,01:21.465,01:22.623,-96.0,81465.0,82623.0,6.0
33,S2,01:22.896,01:23.523,273.0,82896.0,83523.0,2.0
34,S1,01:24.068,01:25.227,545.0,84068.0,85227.0,7.0
35,S2,01:25.430,01:25.826,203.0,85430.0,85826.0,4.0
36,S1,01:26.100,01:30.083,274.0,86100.0,90083.0,13.0
37,S2,01:30.876,01:35.359,793.0,90876.0,95359.0,9.0
