subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
211,21,127.0,62.0,15.62992125984252,68.0,-60.11290322580645,73.5,87.87692307692308,68.0
21,211,127.0,65.0,15.62992125984252,68.0,87.87692307692308,68.0,-60.11290322580645,73.5
8,235,154.0,77.0,328.7207792207792,288.5,269.6623376623377,207.0,387.7792207792208,322.0
235,8,154.0,77.0,328.7207792207792,288.5,387.7792207792208,322.0,269.6623376623377,207.0
23,260,158.0,79.0,155.55696202531647,140.0,155.18987341772151,106.0,155.9240506329114,169.0
260,23,158.0,79.0,155.55696202531647,140.0,155.9240506329114,169.0,155.18987341772151,106.0
30,215,134.0,67.0,427.2761194029851,390.5,402.7910447761194,348.0,451.76119402985074,417.0
215,30,134.0,67.0,427.2761194029851,390.5,451.76119402985074,417.0,402.7910447761194,348.0
207,101,160.0,81.0,253.80625,228.5,207.71604938271605,177.0,301.0632911392405,285.0
101,207,160.0,79.0,253.80625,228.5,301.0632911392405,285.0,207.71604938271605,177.0
21,212,164.0,83.0,194.60365853658536,188.5,88.40963855421687,106.0,303.41975308641975,281.0
212,21,164.0,81.0,194.60365853658536,188.5,303.41975308641975,281.0,88.40963855421687,106.0
11,241,148.0,73.0,464.5945945945946,371.0,324.71232876712327,256.0,600.7466666666667,517.0
241,11,148.0,75.0,464.5945945945946,371.0,600.7466666666667,517.0,324.71232876712327,256.0
86,251,164.0,82.0,402.0,296.5,412.3780487804878,265.0,391.6219512195122,331.0
251,86,164.0,82.0,402.0,296.5,391.6219512195122,331.0,412.3780487804878,265.0
44,252,140.0,70.0,572.4357142857143,414.0,376.0857142857143,406.5,768.7857142857143,579.0
252,44,140.0,70.0,572.4357142857143,414.0,768.7857142857143,579.0,376.0857142857143,406.5
246,44,163.0,82.0,494.92638036809814,388.0,435.3780487804878,360.5,555.2098765432099,419.0
44,246,163.0,81.0,494.92638036809814,388.0,555.2098765432099,419.0,435.3780487804878,360.5
5,228,142.0,71.0,242.95070422535213,167.0,275.16901408450707,171.0,210.73239436619718,161.0
228,5,142.0,71.0,242.95070422535213,167.0,210.73239436619718,161.0,275.16901408450707,171.0
44,253,132.0,66.0,779.3863636363636,501.0,674.5,329.0,884.2727272727273,656.0
253,44,132.0,66.0,779.3863636363636,501.0,884.2727272727273,656.0,674.5,329.0
30,202,149.0,75.0,264.90604026845637,223.0,164.4,144.0,366.77027027027026,343.0
202,30,149.0,74.0,264.90604026845637,223.0,366.77027027027026,343.0,164.4,144.0
240,11,177.0,89.0,422.1186440677966,278.0,442.17977528089887,314.0,401.82954545454544,274.5
11,240,177.0,88.0,422.1186440677966,278.0,401.82954545454544,274.5,442.17977528089887,314.0
204,101,145.0,73.0,487.8551724137931,307.0,490.3972602739726,302.0,485.27777777777777,320.0
101,204,145.0,72.0,487.8551724137931,307.0,485.27777777777777,320.0,490.3972602739726,302.0
21,213,131.0,66.0,137.81679389312978,171.0,18.954545454545453,133.0,258.5076923076923,238.0
213,21,131.0,65.0,137.81679389312978,171.0,258.5076923076923,238.0,18.954545454545453,133.0
249,66,139.0,69.0,201.53237410071944,208.0,143.53623188405797,204.0,258.7,248.5
66,249,139.0,70.0,201.53237410071944,208.0,258.7,248.5,143.53623188405797,204.0
238,29,136.0,70.0,174.8235294117647,154.5,163.9,145.0,186.4090909090909,170.0
29,238,136.0,66.0,174.8235294117647,154.5,186.4090909090909,170.0,163.9,145.0
208,25,79.0,40.0,263.59493670886076,140.0,248.025,135.5,279.56410256410254,145.0
25,208,79.0,39.0,263.59493670886076,140.0,279.56410256410254,145.0,248.025,135.5
4,216,141.0,71.0,144.67375886524823,174.0,154.71830985915494,179.0,134.4857142857143,144.0
216,4,141.0,70.0,144.67375886524823,174.0,134.4857142857143,144.0,154.71830985915494,179.0
25,209,155.0,77.0,317.2064516129032,248.0,341.8181818181818,290.0,292.9102564102564,246.5
209,25,155.0,78.0,317.2064516129032,248.0,292.9102564102564,246.5,341.8181818181818,290.0
107,234,137.0,69.0,433.44525547445255,206.0,581.6376811594203,290.0,283.0735294117647,125.5
234,107,137.0,68.0,433.44525547445255,206.0,283.0735294117647,125.5,581.6376811594203,290.0
4,258,111.0,56.0,90.5945945945946,160.0,-17.910714285714285,131.5,201.07272727272726,195.0
258,4,111.0,55.0,90.5945945945946,160.0,201.07272727272726,195.0,-17.910714285714285,131.5
265,4,69.0,35.0,471.6666666666667,287.0,352.3142857142857,261.0,594.5294117647059,381.5
4,265,69.0,34.0,471.6666666666667,287.0,594.5294117647059,381.5,352.3142857142857,261.0
8,243,170.0,85.0,400.5470588235294,274.0,393.3529411764706,283.0,407.74117647058824,266.0
243,8,170.0,85.0,400.5470588235294,274.0,407.74117647058824,266.0,393.3529411764706,283.0
214,67,127.0,64.0,198.54330708661416,158.0,362.703125,298.5,31.77777777777778,97.0
67,214,127.0,63.0,198.54330708661416,158.0,31.77777777777778,97.0,362.703125,298.5
206,49,207.0,103.0,187.88888888888889,208.0,168.05825242718447,182.0,207.52884615384616,245.5
49,206,207.0,104.0,187.88888888888889,208.0,207.52884615384616,245.5,168.05825242718447,182.0
86,227,167.0,84.0,447.18562874251495,296.0,543.4404761904761,370.5,349.7710843373494,273.0
227,86,167.0,83.0,447.18562874251495,296.0,349.7710843373494,273.0,543.4404761904761,370.5
8,244,245.0,124.0,80.68979591836735,90.0,49.354838709677416,59.5,112.80165289256199,138.0
244,8,245.0,121.0,80.68979591836735,90.0,112.80165289256199,138.0,49.354838709677416,59.5
85,256,178.0,89.0,439.41011235955057,286.0,418.9887640449438,241.0,459.8314606741573,320.0
256,85,178.0,89.0,439.41011235955057,286.0,459.8314606741573,320.0,418.9887640449438,241.0
229,50,117.0,60.0,635.5555555555555,441.0,514.6166666666667,358.0,762.859649122807,511.0
50,229,117.0,57.0,635.5555555555555,441.0,762.859649122807,511.0,514.6166666666667,358.0
107,233,142.0,71.0,112.57042253521126,97.0,198.30985915492957,144.0,26.830985915492956,58.0
233,107,142.0,71.0,112.57042253521126,97.0,26.830985915492956,58.0,198.30985915492957,144.0
67,210,132.0,66.0,241.17424242424244,199.0,212.06060606060606,182.5,270.2878787878788,232.0
210,67,132.0,66.0,241.17424242424244,199.0,270.2878787878788,232.0,212.06060606060606,182.5
218,63,150.0,75.0,249.10666666666665,183.0,196.12,152.0,302.0933333333333,239.0
63,218,150.0,75.0,249.10666666666665,183.0,302.0933333333333,239.0,196.12,152.0
63,224,171.0,84.0,441.72514619883043,328.0,372.75,285.0,508.32183908045977,374.0
224,63,171.0,87.0,441.72514619883043,328.0,508.32183908045977,374.0,372.75,285.0
255,85,168.0,84.0,557.3214285714286,407.0,549.047619047619,402.0,565.5952380952381,414.0
85,255,168.0,84.0,557.3214285714286,407.0,565.5952380952381,414.0,549.047619047619,402.0
205,67,192.0,97.0,83.63541666666667,111.5,222.2680412371134,173.0,-57.915789473684214,35.0
67,205,192.0,95.0,83.63541666666667,111.5,-57.915789473684214,35.0,222.2680412371134,173.0
86,239,70.0,35.0,847.5571428571428,510.0,611.5142857142857,423.0,1083.6,841.0
239,86,70.0,35.0,847.5571428571428,510.0,1083.6,841.0,611.5142857142857,423.0
49,225,121.0,62.0,278.2892561983471,187.0,400.43548387096774,328.0,149.9322033898305,129.0
225,49,121.0,59.0,278.2892561983471,187.0,149.9322033898305,129.0,400.43548387096774,328.0
50,230,79.0,40.0,471.9240506329114,377.0,609.5,417.0,330.8205128205128,356.0
230,50,79.0,39.0,471.9240506329114,377.0,330.8205128205128,356.0,609.5,417.0
242,29,96.0,48.0,389.6770833333333,226.5,401.5,271.5,377.8541666666667,192.0
29,242,96.0,48.0,389.6770833333333,226.5,377.8541666666667,192.0,401.5,271.5
63,217,140.0,70.0,309.8857142857143,255.5,309.1714285714286,289.0,310.6,241.0
217,63,140.0,70.0,309.8857142857143,255.5,310.6,241.0,309.1714285714286,289.0
48,236,107.0,54.0,459.3457943925234,403.0,414.8703703703704,298.0,504.66037735849056,545.0
236,48,107.0,53.0,459.3457943925234,403.0,504.66037735849056,545.0,414.8703703703704,298.0
264,68,157.0,79.0,-117.4140127388535,10.0,1.759493670886076,66.0,-238.1153846153846,-32.5
