subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
103,101,168.0,85.0,440.4107142857143,360.5,484.6470588235294,411.0,395.10843373493975,322.0
101,103,168.0,83.0,440.4107142857143,360.5,395.10843373493975,322.0,484.6470588235294,411.0
25,24,128.0,64.0,368.421875,382.0,241.03125,307.5,495.8125,541.0
24,25,128.0,64.0,368.421875,382.0,495.8125,541.0,241.03125,307.5
6,4,94.0,47.0,110.37234042553192,222.0,33.340425531914896,38.0,187.40425531914894,311.0
4,6,94.0,47.0,110.37234042553192,222.0,187.40425531914894,311.0,33.340425531914896,38.0
110,102,201.0,101.0,359.0547263681592,328.0,314.7821782178218,237.0,403.77,407.0
102,110,201.0,100.0,359.0547263681592,328.0,403.77,407.0,314.7821782178218,237.0
102,104,191.0,96.0,277.72251308900525,245.0,223.125,207.0,332.89473684210526,274.0
104,102,191.0,95.0,277.72251308900525,245.0,332.89473684210526,274.0,223.125,207.0
44,48,133.0,66.0,306.3609022556391,280.0,244.74242424242425,247.5,367.05970149253733,311.0
48,44,133.0,67.0,306.3609022556391,280.0,367.05970149253733,311.0,244.74242424242425,247.5
109,107,102.0,51.0,-2.823529411764706,18.5,-81.15686274509804,-70.0,75.50980392156863,72.0
107,109,102.0,51.0,-2.823529411764706,18.5,75.50980392156863,72.0,-81.15686274509804,-70.0
21,29,140.0,70.0,-89.92142857142858,62.0,-94.51428571428572,46.0,-85.32857142857142,91.0
29,21,140.0,70.0,-89.92142857142858,62.0,-85.32857142857142,91.0,-94.51428571428572,46.0
61,60,123.0,62.0,198.45528455284554,228.0,233.48387096774192,231.5,162.85245901639345,228.0
60,61,123.0,61.0,198.45528455284554,228.0,162.85245901639345,228.0,233.48387096774192,231.5
41,50,133.0,66.0,390.63157894736844,370.0,289.45454545454544,263.5,490.2985074626866,410.0
50,41,133.0,67.0,390.63157894736844,370.0,490.2985074626866,410.0,289.45454545454544,263.5
64,70,151.0,76.0,88.16556291390728,169.0,213.8421052631579,236.0,-39.18666666666667,114.0
70,64,151.0,75.0,88.16556291390728,169.0,-39.18666666666667,114.0,213.8421052631579,236.0
88,85,112.0,57.0,320.00892857142856,191.5,277.43859649122805,195.0,364.1272727272727,188.0
85,88,112.0,55.0,320.00892857142856,191.5,364.1272727272727,188.0,277.43859649122805,195.0
88,90,100.0,50.0,102.77,177.5,83.06,199.5,122.48,160.5
90,88,100.0,50.0,102.77,177.5,122.48,160.5,83.06,199.5
88,84,75.0,38.0,223.61333333333334,237.0,222.42105263157896,242.0,224.83783783783784,156.0
84,88,75.0,37.0,223.61333333333334,237.0,224.83783783783784,156.0,222.42105263157896,242.0
88,81,198.0,98.0,220.06565656565655,191.5,236.83673469387756,195.5,203.63,187.0
81,88,198.0,100.0,220.06565656565655,191.5,203.63,187.0,236.83673469387756,195.5
45,41,192.0,97.0,334.5885416666667,315.5,287.54639175257734,285.0,382.62105263157895,381.0
41,45,192.0,95.0,334.5885416666667,315.5,382.62105263157895,381.0,287.54639175257734,285.0
49,48,53.0,28.0,94.77358490566037,176.0,240.75,254.0,-68.72,29.0
48,49,53.0,25.0,94.77358490566037,176.0,-68.72,29.0,240.75,254.0
28,24,115.0,58.0,225.41739130434783,253.0,147.91379310344828,236.5,304.280701754386,320.0
24,28,115.0,57.0,225.41739130434783,253.0,304.280701754386,320.0,147.91379310344828,236.5
28,21,181.0,91.0,43.049723756906076,167.0,109.02197802197803,202.0,-23.655555555555555,148.5
21,28,181.0,90.0,43.049723756906076,167.0,-23.655555555555555,148.5,109.02197802197803,202.0
107,108,200.0,100.0,48.0,110.0,138.65,125.5,-42.65,65.0
108,107,200.0,100.0,48.0,110.0,-42.65,65.0,138.65,125.5
49,44,81.0,42.0,140.53086419753086,209.0,274.7857142857143,310.5,-4.051282051282051,113.0
44,49,81.0,39.0,140.53086419753086,209.0,-4.051282051282051,113.0,274.7857142857143,310.5
