num_bins,bin_size,beta,p-val
2.0,300.0,-0.13357381645246588,0.1112348262778254
3.0,200.0,-0.13614891632048912,0.0239911019953781
4.0,150.0,-0.12275050044864518,0.011993420224966637
5.0,120.0,-0.10001795398974912,0.024200907339572617
6.0,100.0,-0.09542750354134617,0.008560125506983344
10.0,60.0,-0.061366014248245705,0.00649418046657782
12.0,50.0,-0.0838616709655638,5.7205373536576255e-05
15.0,40.0,-0.07586855209008381,9.39515201446806e-05
20.0,30.0,-0.06975732463058872,2.7804307905539203e-05
24.0,25.0,-0.0647047374499937,2.4111969758397123e-05
30.0,20.0,-0.06200503006681314,5.878191133329831e-06
40.0,15.0,-0.05108008619320067,1.0765233357263412e-05
60.0,10.0,-0.038429744204026686,0.00023725723151465724
120.0,5.0,-0.034834251425071086,2.445011742741411e-05
