num_bins,bin_size,beta,p-val
2.0,300.0,-0.20702083733599405,6.527979756834257e-12
3.0,200.0,-0.14250154678683466,1.140493989313443e-09
4.0,150.0,-0.09356014042090313,6.334516182024445e-07
5.0,120.0,-0.08442705757912114,2.4880538652465094e-07
6.0,100.0,-0.057355354074487025,3.192831687498913e-05
10.0,60.0,-0.04133164184875142,2.3142732308240452e-05
12.0,50.0,-0.03339601617875108,0.00010265053305581493
15.0,40.0,-0.03658456586548284,1.862301829578532e-06
20.0,30.0,-0.03363003085505546,1.9712836485088413e-07
24.0,25.0,-0.026543609750570976,5.878066513244748e-06
30.0,20.0,-0.02912609230260806,2.9329487508190093e-08
40.0,15.0,-0.02310062911495918,5.065661658848953e-07
60.0,10.0,-0.025554666963229285,4.42762462971493e-11
120.0,5.0,-0.020276044014897576,4.473510889710095e-11
