condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,A,11,65,70,6.493,7.85,23.151,2,
long,A,15,38,39,18.713,24.3,25.568,2,
long,A,18,44,27,15.232,19.221,23.246,5,no comments
long,A,19,29,28,8.101,15.618,17.699,3,
long,A,22,22,32,9.098,24.553,26.824,2,
long,A,32,57,0,21.005,23.058,24.252,2,
long,A,34,68,69,19.817,24.128,24.659,9,
long,A,35,83,75,29.148,34.752,36.67,2,
long,A,36,55,67,6.157,13.681,18.317,3,
long,A,38,73,76,26.233,32.85,34.134,4,
long,A,39,0,0,16.156,17.547,18.826,2,
long,A,42,60,43,40.959,46.402,52.974,3,
long,A,43,57,31,19.512,22.923,24.73,5,
long,A,48,22,19,6.747,18.331,19.742,2,
long,A,51,79,60,18.325,19.517,25.271,2,
long,A,53,58,25,23.778,29.926,30.536,3,
long,A,54,78,80,24.306,37.51,40.174,4,no
long,A,56,30,49,5.73,11.961,19.604,3,
long,A,57,12,57,26.22,30.701,32.354,2,
long,A,61,83,83,28.395,32.277,49.827,3,New Class Friend...
long,A,67,97,92,10.4,16.317,21.816,5,
long,A,68,36,23,18.277,21.64,24.231,3,none
long,A,72,98,97,19.81,23.371,26.923,5,NICE
long,A,79,19,7,11.296,13.682,17.438,2,
long,A,82,33,49,20.415,24.148,26.082,2,
long,A,84,34,17,21.96,23.926,24.924,2,
long,A,87,90,74,8.455,10.878,72.814,3,no
long,A,89,25,65,6.085,7.455,9.764,2,
long,A,92,75,76,10.455,20.676,24.207,3,na
long,A,97,63,39,34.834,38.222,39.14,3,
long,A,98,59,72,69.756,72.811,76.996,4,nice
long,A,99,71,62,37.194,44.667,45.543,3,
long,A,100,80,61,24.229,27.357,30.035,3,
long,A,105,55,53,7.016,9.777,22.159,2,
long,A,112,84,74,40.461,42.244,43.101,3,
long,A,113,64,41,30.225,33.368,34.543,2,
long,A,117,59,61,48.74,50.308,52.369,2,
long,A,118,71,61,20.072,21.504,22.77,2,
long,A,119,51,51,21.751,26.304,34.569,3,good
long,A,122,75,77,15.263,19.735,21.161,4,
