subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender
25,201,69,80,49,66,74,75,11,68,89,89,92,68,81,34,95,3.5,,91,95,1
201,25,83,85,62,89,62,98,85,69,88,17,90,76,68,67,93,3.5,,95,75,1
30,202,96,97,58,95,100,86,60,92,97,64,84,94,75,73,88,1.5,,100,91,1
202,30,77,82,50,76,31,74,75,68,68,64,85,67,73,69,75,1.6,,73,67,2
101,203,92,99,56,62,78,80,26,59,80,42,74,44,65,36,84,1,,51,52,2
203,101,83,86,53,36,72,64,2,36,64,69,82,70,69,65,91,0.6,,50,42,2
101,204,98,99,51,65,91,69,44,71,89,73,89,45,66,58,88,0.8,,83,70,2
204,101,83,86,74,57,11,50,30,43,66,69,92,78,57,74,87,0.7,,78,69,2
67,205,99,99,51,100,74,99,5,99,98,67,100,100,99,64,100,2,,100,82,1
205,67,98,100,62,38,37,76,10,79,92,70,71,77,75,55,66,2.6,,92,87,1
206,49,85,100,38,90,85,100,7,91,100,33,100,90,67,33,100,4,,100,100,2
49,206,100,100,65,100,100,72,0,51,100,66,100,55,90,40,100,3.5,,100,90,2
101,207,91,67,66,93,83,57,58,67,77,44,82,67,64,40,86,0.7,,49,31,2
207,101,63,76,97,89,72,0,0,51,64,61,74,95,80,63,77,0.5,,50,34,1
25,208,94,100,74,76,76,77,16,90,100,83,100,92,83,88,90,3.5,,100,100,1
208,25,95,95,20,79,89,84,50,75,88,89,89,60,75,32,100,4,,100,90,1
25,209,73,31,60,79,72,78,0,82,69,6,21,80,37,29,18,3.6,,68,70,1
209,25,100,100,48,63,54,65,17,100,100,0,76,93,90,0,78,4,,21,33,1
67,210,85,95,56,88,71,97,6,71,90,52,85,86,81,60,96,2,,74,74,1
210,67,89,76,34,55,47,87,0,65,64,71,87,56,59,14,96,2.5,,65,78,1
21,211,81,81,49,77,26,76,7,83,71,33,83,31,70,42,82,1.5,,88,88,1
211,21,88,75,82,33,19,73,55,33,62,41,64,75,66,44,62,2,,92,71,1
21,212,91,92,51,93,92,60,2,74,76,35,85,66,74,80,91,1.5,,82,67,1
212,21,100,100,51,75,76,95,20,59,84,94,100,68,77,29,91,2,,100,68,1
21,213,93,89,74,88,73,83,56,32,79,58,71,68,63,92,85,1.5,,91,93,1
213,21,95,100,27,26,0,84,18,86,69,100,100,74,59,24,94,1.5,,91,68,1
67,214,100,95,59,100,97,92,3,96,97,56,99,97,93,54,100,3.1,,93,97,1
214,67,97,99,51,70,66,86,0,78,82,74,85,83,82,67,99,3,,85,100,1
30,215,92,94,78,89,88,81,61,38,58,39,76,100,90,71,99,1.5,,92,93,1
215,30,91,88,24,84,52,49,10,92,95,81,96,66,67,87,86,1.7,,95,85,2
4,216,96,100,46,93,95,99,59,94,92,97,98,95,84,68,100,2,,51,74,1
216,4,100,100,62,100,84,100,27,74,100,81,78,100,75,98,90,2.1,,41,67,1
217,63,76,51,51,57,17,73,0,100,63,63,100,64,40,52,74,0.3,,50,42,1
63,217,96,100,71,48,38,84,70,46,80,2,95,84,81,12,98,0.2,,50,57,1
218,63,100,100,51,100,79,88,0,88,100,90,98,88,100,95,99,2.1,,55,84,1
63,218,95,83,54,75,58,87,80,51,49,30,78,100,63,72,86,1.8,,67,81,1
110,219,79,87,71,80,76,66,0,63,75,29,66,65,63,30,67,0.7,,100,67,2
219,110,88,89,48,75,54,67,12,73,82,65,91,76,78,41,86,0.7,,100,66,2
110,220,69,71,69,66,82,73,0,82,82,81,94,64,64,34,71,0.6,,100,53,2
220,110,100,100,51,90,90,90,10,83,84,67,87,85,84,68,89,0.5,,100,74,2
110,221,26,25,78,36,39,68,0,12,33,25,33,60,41,58,35,0.7,,75,44,2
221,110,100,100,34,88,76,54,0,100,100,79,100,77,100,75,100,0.7,,100,81,2
5,222,92,94,50,98,97,100,25,50,86,83,100,50,76,40,99,2.3,,51,79,1
222,5,91,100,64,88,74,84,2,100,100,30,95,93,94,28,99,2,,27,69,1
5,223,85,86,67,99,99,94,4,68,96,6,97,64,84,71,100,3,,96,91,1
223,5,96,100,58,88,70,85,7,65,66,27,77,74,80,23,88,1.9,,85,73,1
63,224,91,79,25,47,28,63,27,30,63,94,92,41,51,39,80,0.2,,50,43,1
224,63,91,91,55,62,39,71,13,85,92,37,86,77,71,85,100,0.5,,68,34,2
49,225,85,83,82,87,85,62,0,41,72,90,100,63,52,41,100,4,,100,90,2
225,49,78,70,35,89,47,69,0,100,71,20,100,44,46,37,100,4.1,,100,82,2
49,226,100,74,100,100,100,50,0,30,70,3,100,100,57,79,100,4,,100,90,2
226,49,99,99,7,94,65,82,0,97,95,2,98,94,91,5,97,3.6,,100,100,2
227,86,89,88,67,97,96,98,10,93,90,33,80,78,77,49,77,2.4,,100,100,2
86,227,96,86,51,86,88,87,9,100,88,73,94,87,76,66,100,2.6,,72,88,2
5,228,85,87,69,94,80,78,1,78,94,80,100,56,80,90,100,3,,80,91,1
228,5,95,97,51,68,43,77,36,62,89,100,100,68,71,100,93,1.8,,40,80,1
50,229,100,100,50,77,78,49,18,74,76,51,100,100,80,44,100,1,,94,76,2
229,50,98,90,53,90,67,68,0,95,96,47,92,85,82,63,95,0.7,,81,49,2
50,230,100,100,89,98,100,52,39,88,80,48,100,100,100,52,100,5,19,100,100,2
230,50,76,75,24,66,68,69,0,75,72,29,64,36,38,13,65,5,,100,100,2
50,231,100,100,78,97,94,41,61,59,77,45,100,100,92,69,100,2,,86,90,2
231,50,96,98,42,85,55,72,11,89,98,49,100,46,65,43,96,1.7,,78,85,2
48,232,100,100,89,100,55,91,54,35,69,88,99,98,89,100,100,2,,100,100,2
232,48,83,75,34,99,69,96,0,91,80,100,100,27,45,34,81,2,,100,86,2
233,107,78,98,44,85,87,85,72,96,96,79,87,84,77,89,98,0.6,,100,67,1
