subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,length_self,length_partner,convo_order,round_robin_num
1,2,66,58,63,10,58,We're both sophomores in the same sorority,69,44,58,74,45,70,62,57,,,,,57,,,1,1
1,4,100,87,94,67,0,,65,58,37,55,49,36,60,55,,,,,88,,,2,1
1,3,88,74,79,65,0,,71,58,72,88,53,57,70,37,,,,,62,,,3,1
1,5,96,93,100,80,78,freshman friends,74,82,88,63,52,61,73,79,,,,,92,,,4,1
1,6,90,87,89,44,66,sorority,68,28,27,64,53,90,65,92,,,,,61,,,5,1
1,10,81,68,84,68,0,,68,32,60,62,45,31,65,66,,,,,70,,,6,1
1,7,94,77,63,28,0,,56,13,67,54,44,73,69,85,,,,,87,,,7,1
1,11,82,79,64,60,0,,58,33,61,57,38,41,62,29,,,,,64,,,8,1
1,9,75,63,62,22,0,,79,63,70,60,46,46,46,76,,,,,86,,,9,1
1,8,92,97,100,41,0,,87,40,78,60,56,100,89,77,,,,,72,,,10,1
2,6,77,80,80,62,62,She's in my sorority and in my neuroscience class.,65,65,41,70,70,74,74,61,,,,,74,,,1,1
2,8,67,81,66,82,0,,20,34,34,34,27,34,70,62,,,,,70,,,2,1
2,7,77,72,78,59,0,,16,60,71,75,76,37,72,59,,,,,71,,,3,1
2,10,36,61,64,73,0,,10,67,58,41,37,40,54,35,,,,,22,,,4,1
2,1,91,91,91,77,58,Same sorority as me.,65,42,58,44,30,41,71,41,,,,,79,,,5,1
2,3,36,17,23,64,0,,8,19,21,57,57,33,20,11,,,,,19,,,6,1
2,4,73,84,80,50,0,,24,64,81,40,36,34,72,60,,,,,78,,,7,1
2,11,59,38,39,61,0,,9,59,39,24,20,38,56,42,,,,,64,,,8,1
2,5,98,83,83,68,71,one of my good friends; in my sorority,71,59,59,41,27,61,80,60,,,,,76,,,9,1
2,9,77,76,67,78,8,my friend's trip leader,22,65,63,44,27,19,78,65,,,,,78,,,10,1
3,6,80,85,70,38,0,,34,51,48,61,27,66,64,65,,,,,58,,,1,1
