subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable_self,convo_order,round_robin_num,dyad
1,2,66,58,63,10,58,We're both sophomores in the same sorority,69,44,58,74,45,70,62,57,57,1,1,14
1,4,100,87,94,67,0,,65,58,37,55,49,36,60,55,88,2,1,34
1,3,88,74,79,65,0,,71,58,72,88,53,57,70,37,62,3,1,23
1,5,96,93,100,80,78,freshman friends,74,82,88,63,52,61,73,79,92,4,1,42
1,6,90,87,89,44,66,sorority,68,28,27,64,53,90,65,92,61,5,1,54
1,10,81,68,84,68,0,,68,32,60,62,45,31,65,66,70,6,1,97
1,7,94,77,63,28,0,,56,13,67,54,44,73,69,85,87,7,1,65
1,11,82,79,64,60,0,,58,33,61,57,38,41,62,29,64,8,1,108
1,9,75,63,62,22,0,,79,63,70,60,46,46,46,76,86,9,1,86
1,8,92,97,100,41,0,,87,40,78,60,56,100,89,77,72,10,1,79
2,6,77,80,80,62,62,She's in my sorority and in my neuroscience class.,65,65,41,70,70,74,74,61,74,1,1,51
2,8,67,81,66,82,0,,20,34,34,34,27,34,70,62,70,2,1,70
2,7,77,72,78,59,0,,16,60,71,75,76,37,72,59,71,3,1,61
2,10,36,61,64,73,0,,10,67,58,41,37,40,54,35,22,4,1,93
2,1,91,91,91,77,58,Same sorority as me.,65,42,58,44,30,41,71,41,79,5,1,14
2,3,36,17,23,64,0,,8,19,21,57,57,33,20,11,19,6,1,22
2,4,73,84,80,50,0,,24,64,81,40,36,34,72,60,78,7,1,35
2,11,59,38,39,61,0,,9,59,39,24,20,38,56,42,64,8,1,106
2,5,98,83,83,68,71,one of my good friends; in my sorority,71,59,59,41,27,61,80,60,76,9,1,46
2,9,77,76,67,78,8,my friend's trip leader,22,65,63,44,27,19,78,65,78,10,1,84
3,6,80,85,70,38,0,,34,51,48,61,27,66,64,65,58,1,1,50
3,4,81,96,73,47,3,,39,59,66,64,25,50,80,50,69,2,1,33
3,2,65,69,72,42,10,,36,55,42,60,45,61,70,60,70,3,1,22
3,1,64,72,39,49,17,,34,41,39,41,27,61,51,48,80,4,1,23
3,8,72,78,74,47,15,,37,47,43,48,25,52,54,45,63,5,1,75
3,11,52,57,72,58,1,,23,41,44,41,9,44,46,31,71,6,1,105
3,5,59,80,64,52,6,,28,63,53,46,13,46,60,32,65,7,1,47
3,7,60,65,68,52,17,,51,60,58,56,21,54,73,57,75,8,1,67
3,9,77,70,71,53,13,,33,55,55,59,14,48,68,36,66,9,1,89
3,10,63,61,76,53,8,,27,59,56,41,12,54,58,35,77,10,1,99
4,10,82,88,86,65,25,Classmate in big lecture course,63,87,70,71,5,84,80,49,83,1,1,94
4,11,79,69,53,45,0,,52,77,36,56,4,55,48,53,86,2,1,103
4,5,68,59,44,43,0,,45,31,35,53,1,79,71,40,83,3,1,41
4,3,74,69,67,54,0,,53,44,52,78,3,39,56,11,86,4,1,33
4,1,100,100,100,50,0,,60,87,82,95,2,96,100,58,100,5,1,34
4,2,100,100,100,47,4,I've seen her in my neuro class,54,93,94,100,4,98,100,63,97,6,1,35
4,8,92,88,62,46,0,,52,63,33,78,5,71,44,53,95,7,1,76
4,6,95,86,47,46,7,She sits behind me in neuro class,45,73,30,75,6,70,58,77,95,8,1,57
